mark	cluster	direction	n_anchors	exterior_mean	interior_mean	ext_int_ratio	asymmetry_index	wilcoxon_pval
H2AK119ub_ctrl	clust5	strong gain	1171	1.81691	1.90477	0.9539	-0.02361	0.5547578348412348
H2AK119ub_ctrl	clust6	strong loss	3860	1.65218	1.66049	0.995	-0.00251	0.9138430353662892
H2AK119ub_ctrl	clust6_short	loss <800kb	2504	1.52391	1.49284	1.0208	0.0103	0.2292457721238933
H2AK119ub_ctrl	clust6_long	loss >=800kb	1474	1.85412	1.91996	0.9657	-0.01745	0.23134022626288564
H2AK119ub_mut	clust5	strong gain	1171	1.68726	1.74657	0.966	-0.01727	0.6146781831057265
H2AK119ub_mut	clust6	strong loss	3860	2.20801	2.19722	1.0049	0.00245	0.34111800503372325
H2AK119ub_mut	clust6_short	loss <800kb	2504	2.33884	2.28348	1.0242	0.01198	0.09283590479091515
H2AK119ub_mut	clust6_long	loss >=800kb	1474	2.03301	2.08504	0.975	-0.01263	0.5840489829778692
H3K27ac_ctrl	clust5	strong gain	1171	1.24073	1.29545	0.9578	-0.02158	0.754285010948992
H3K27ac_ctrl	clust6	strong loss	3860	7.58891	7.4114	1.024	0.01183	0.48422589788212567
H3K27ac_ctrl	clust6_short	loss <800kb	2504	9.38555	8.94607	1.0491	0.02397	0.18576926800658866
H3K27ac_ctrl	clust6_long	loss >=800kb	1474	5.19728	5.3142	0.978	-0.01112	0.8149699173280692
H3K27ac_mut	clust5	strong gain	1171	1.39053	1.37632	1.0103	0.00513	0.5382929443099966
H3K27ac_mut	clust6	strong loss	3860	4.77408	4.69355	1.0172	0.00851	0.24714302068771254
H3K27ac_mut	clust6_short	loss <800kb	2504	5.50129	5.30601	1.0368	0.01807	0.06021160500864523
H3K27ac_mut	clust6_long	loss >=800kb	1474	3.84293	3.78948	1.0141	0.007	0.7024595374036262
