mark	cluster	direction	n_anchors	exterior_mean	interior_mean	ext_int_ratio	asymmetry_index	wilcoxon_pval
PC1_ctrl	clust5	strong gain	1167	-0.23828	-0.33311	0.7153	0.0	6.289755440420401e-44
PC1_ctrl	clust6	strong loss	3858	0.16689	0.17829	0.9361	-0.03302	0.00012690269322560292
PC1_ctrl	clust6_short	loss <800kb	2502	0.26861	0.3019	0.8898	-0.05834	1.0378239476614765e-13
PC1_ctrl	clust6_long	loss >=800kb	1474	-0.0029	-0.02931	0.0989	0.0	0.002648218634434624
PC1_mut	clust5	strong gain	1165	-0.11322	-0.16409	0.69	0.0	6.648762984478686e-13
PC1_mut	clust6	strong loss	3858	0.10285	0.10876	0.9456	-0.02796	0.03186043495528713
PC1_mut	clust6_short	loss <800kb	2502	0.19254	0.21621	0.8905	-0.05792	4.919906509990985e-07
PC1_mut	clust6_long	loss >=800kb	1474	-0.0497	-0.07522	0.6608	0.0	0.0051399900909275854
insulation_ctrl	clust5	strong gain	1171	-0.27529	-0.17467	1.5761	0.0	3.5193507848942417e-54
insulation_ctrl	clust6	strong loss	3859	-0.0591	0.09784	-0.604	-4.05068	2.937994962719503e-179
insulation_ctrl	clust6_short	loss <800kb	2503	0.07925	0.26062	0.3041	-0.53363	5.427875612440275e-141
insulation_ctrl	clust6_long	loss >=800kb	1474	-0.3007	-0.18133	1.6583	0.0	6.954380142036e-52
insulation_mut	clust5	strong gain	1167	-0.27651	-0.10885	2.5401	0.0	1.9376225799052307e-89
insulation_mut	clust6	strong loss	3859	-0.1284	0.01422	-9.0317	0.0	7.687509987221949e-151
insulation_mut	clust6_short	loss <800kb	2503	-0.00115	0.15485	-0.0074	-1.01492	1.1528865244660025e-110
insulation_mut	clust6_long	loss >=800kb	1474	-0.35239	-0.22913	1.5379	0.0	1.2417411176151092e-50
