	clust1	clust2	clust3	clust4	clust5	clust6
K119ub_Only	4.052573932092004	5.522914218566393	2.9548989113530326	7.352941176470588	5.882352941176471	1.4285714285714286
Polycomb_K119ub	3.833515881708653	6.580493537015276	3.265940902021773	25.0	23.529411764705884	17.61904761904762
Repressed_Enhancer_K119ub	1.7524644030668126	3.7602820211515864	2.488335925349922	8.088235294117647	11.764705882352942	1.9047619047619047
K119ub_Poised_Enhancer	2.628696604600219	3.055229142185664	3.265940902021773	1.838235294117647	1.4705882352941178	1.4285714285714286
Poised_Enhancer	7.776560788608982	6.110458284371328	7.309486780715397	3.3088235294117645	1.4705882352941178	4.285714285714286
Active_Enhancer_K9ac	1.8619934282584885	1.2925969447708578	0.9331259720062208	0.36764705882352944	1.4705882352941178	0.0
Active_Enhancer	5.585980284775466	5.287896592244419	5.7542768273716955	1.1029411764705883	0.0	4.285714285714286
Active_Enhancer_K119ub	10.405257393209201	13.6310223266745	8.242612752721618	5.514705882352941	0.0	7.142857142857143
Strong_Enhancer	15.443592552026287	12.338425381903642	16.018662519440124	3.676470588235294	0.0	15.714285714285714
Weak_Enhancer	4.271631982475356	2.3501762632197414	4.510108864696734	0.7352941176470589	0.0	1.9047619047619047
Active_Promoter	36.03504928806134	31.492361927144536	41.05754276827372	19.485294117647058	4.411764705882353	39.04761904761905
K9ac_Promoter	2.8477546549835706	3.172737955346651	2.332814930015552	4.044117647058823	0.0	2.380952380952381
CTCF_Open	0.0	0.0	0.0	0.0	0.0	0.0
ATAC_Enhancer	0.0	0.0	0.0	0.0	0.0	0.0
Insulator	0.0	0.0	0.0	0.0	0.0	0.0
Polycomb	2.4096385542168677	3.9952996474735607	1.088646967340591	19.485294117647058	50.0	2.380952380952381
Heterochromatin	1.095290251916758	1.4101057579318448	0.7776049766718507	0.0	0.0	0.47619047619047616
