===========================================
Fix: cooler balance for 250402 merged files
Start: Mon Apr 20 07:59:26 PDT 2026
===========================================

--- ctrl_merged @ 5000bp ---
INFO:cooler.cli.balance:Balancing "/expanse/lustre/projects/csd940/zalibhai/stripes/stripenn/data/cool/250402/ctrl_merged.mcool::/resolutions/5000"
INFO:cooler._balance:variance is 3247731.2051357897
INFO:cooler._balance:variance is 129875028.47796945
INFO:cooler._balance:variance is 3615694.9647592152
INFO:cooler._balance:variance is 42902392.18447226
INFO:cooler._balance:variance is 3532751.229773178
INFO:cooler._balance:variance is 15834342.919892097
INFO:cooler._balance:variance is 2720190.0819844706
INFO:cooler._balance:variance is 6697483.142607347
INFO:cooler._balance:variance is 1856957.0846169915
INFO:cooler._balance:variance is 3129816.287153035
INFO:cooler._balance:variance is 1184473.8554154306
INFO:cooler._balance:variance is 1564523.4435552645
INFO:cooler._balance:variance is 726897.9366020916
INFO:cooler._balance:variance is 819041.0086773329
INFO:cooler._balance:variance is 436905.77350480965
INFO:cooler._balance:variance is 443112.42504401784
INFO:cooler._balance:variance is 260026.1630500825
INFO:cooler._balance:variance is 245632.92068729908
INFO:cooler._balance:variance is 154229.9376614611
INFO:cooler._balance:variance is 138712.22259834805
INFO:cooler._balance:variance is 91494.5698540182
INFO:cooler._balance:variance is 79473.5576360522
INFO:cooler._balance:variance is 54383.47444124441
INFO:cooler._balance:variance is 46057.303196310764
INFO:cooler._balance:variance is 32410.83648811315
INFO:cooler._balance:variance is 26936.418041287285
INFO:cooler._balance:variance is 19369.367931666242
INFO:cooler._balance:variance is 15869.45136659984
INFO:cooler._balance:variance is 11605.50172055292
INFO:cooler._balance:variance is 9404.607253805214
INFO:cooler._balance:variance is 6969.513053956989
INFO:cooler._balance:variance is 5599.8364369995115
INFO:cooler._balance:variance is 4193.570330225265
INFO:cooler._balance:variance is 3347.0514108802136
INFO:cooler._balance:variance is 2527.3650679257375
INFO:cooler._balance:variance is 2006.6707959484522
INFO:cooler._balance:variance is 1525.210237587826
INFO:cooler._balance:variance is 1206.018394441226
INFO:cooler._balance:variance is 921.4303243630836
INFO:cooler._balance:variance is 726.246852876525
INFO:cooler._balance:variance is 557.1568852169522
INFO:cooler._balance:variance is 438.02317697055037
INFO:cooler._balance:variance is 337.1334303972774
INFO:cooler._balance:variance is 264.5184625195857
INFO:cooler._balance:variance is 204.11561001468255
INFO:cooler._balance:variance is 159.90118845136217
INFO:cooler._balance:variance is 123.63824964437767
INFO:cooler._balance:variance is 96.73793333430365
INFO:cooler._balance:variance is 74.91920798385691
INFO:cooler._balance:variance is 58.562757197100794
INFO:cooler._balance:variance is 45.411540501017484
INFO:cooler._balance:variance is 35.47072743110859
INFO:cooler._balance:variance is 27.532593909811478
INFO:cooler._balance:variance is 21.493051584870187
INFO:cooler._balance:variance is 16.69613112488654
INFO:cooler._balance:variance is 13.027767680588264
INFO:cooler._balance:variance is 10.12642791193295
INFO:cooler._balance:variance is 7.898735500947326
INFO:cooler._balance:variance is 6.142645069538582
INFO:cooler._balance:variance is 4.790029566909465
INFO:cooler._balance:variance is 3.7265142616891236
INFO:cooler._balance:variance is 2.9053190881131203
INFO:cooler._balance:variance is 2.2609443340739
INFO:cooler._balance:variance is 1.7624227220774324
INFO:cooler._balance:variance is 1.3718599111247984
INFO:cooler._balance:variance is 1.069240484727326
INFO:cooler._balance:variance is 0.8324475014620745
INFO:cooler._balance:variance is 0.648754711126116
INFO:cooler._balance:variance is 0.5051572025316973
INFO:cooler._balance:variance is 0.39365706965588276
INFO:cooler._balance:variance is 0.30655972403302023
INFO:cooler._balance:variance is 0.23888122718287605
INFO:cooler._balance:variance is 0.18604560374358778
INFO:cooler._balance:variance is 0.14496648834102477
INFO:cooler._balance:variance is 0.11291118313561495
INFO:cooler._balance:variance is 0.08797736883957354
INFO:cooler._balance:variance is 0.068527618338633
INFO:cooler._balance:variance is 0.053393567104942016
INFO:cooler._balance:variance is 0.0415914169103508
INFO:cooler._balance:variance is 0.032405518523402406
INFO:cooler._balance:variance is 0.02524351038569848
INFO:cooler._balance:variance is 0.019667946473762993
INFO:cooler._balance:variance is 0.015321543997645225
INFO:cooler._balance:variance is 0.011937334888019185
INFO:cooler._balance:variance is 0.009299531380632806
INFO:cooler._balance:variance is 0.0072454051607364935
INFO:cooler._balance:variance is 0.0056444873015039825
INFO:cooler._balance:variance is 0.004397681597445339
INFO:cooler._balance:variance is 0.0034260376584414045
INFO:cooler._balance:variance is 0.0026692531617693175
INFO:cooler._balance:variance is 0.0020795212507929693
INFO:cooler._balance:variance is 0.0016201672879417467
INFO:cooler._balance:variance is 0.0012622276412587018
INFO:cooler._balance:variance is 0.0009834072982576063
INFO:cooler._balance:variance is 0.0007661515329071435
INFO:cooler._balance:variance is 0.000596911493317999
INFO:cooler._balance:variance is 0.00046504391239269536
INFO:cooler._balance:variance is 0.00036231720850961086
INFO:cooler._balance:variance is 0.00028227683697517106
INFO:cooler._balance:variance is 0.00021992273131931045
INFO:cooler._balance:variance is 0.00017133979600249965
INFO:cooler._balance:variance is 0.00013349134512043986
INFO:cooler._balance:variance is 0.00010400225257433361
INFO:cooler._balance:variance is 8.102847546024722e-05
INFO:cooler._balance:variance is 6.312894737220328e-05
INFO:cooler._balance:variance is 4.918396953426765e-05
INFO:cooler._balance:variance is 3.831911619772882e-05
INFO:cooler._balance:variance is 2.9854558316013653e-05
INFO:cooler._balance:variance is 2.3259662501709452e-05
INFO:cooler._balance:variance is 1.8121691407044544e-05
INFO:cooler._balance:variance is 1.4118618315381203e-05
INFO:cooler._balance:variance is 1.099987329609292e-05
INFO:cooler._balance:variance is 8.570018152671384e-06
Verifying KR column exists:
chr1	0	5000	

--- ctrl_merged @ 10000bp ---
INFO:cooler.cli.balance:Balancing "/expanse/lustre/projects/csd940/zalibhai/stripes/stripenn/data/cool/250402/ctrl_merged.mcool::/resolutions/10000"
INFO:cooler._balance:variance is 10049298.552220702
INFO:cooler._balance:variance is 480764883.5204803
INFO:cooler._balance:variance is 13812049.3811216
INFO:cooler._balance:variance is 163559012.03245416
INFO:cooler._balance:variance is 13493902.410613753
INFO:cooler._balance:variance is 59634923.917818934
INFO:cooler._balance:variance is 10204945.353502536
INFO:cooler._balance:variance is 24585094.16112562
INFO:cooler._balance:variance is 6791190.966798798
INFO:cooler._balance:variance is 11131908.82713012
INFO:cooler._balance:variance is 4205408.28321228
INFO:cooler._balance:variance is 5378226.807274289
INFO:cooler._balance:variance is 2498989.4292332367
INFO:cooler._balance:variance is 2718734.982040675
INFO:cooler._balance:variance is 1451841.648224025
INFO:cooler._balance:variance is 1419903.3604663762
INFO:cooler._balance:variance is 834171.0879505381
INFO:cooler._balance:variance is 759799.8457122081
INFO:cooler._balance:variance is 477260.4577924483
INFO:cooler._balance:variance is 414205.26722417976
INFO:cooler._balance:variance is 272970.46464301174
INFO:cooler._balance:variance is 229110.98184187704
INFO:cooler._balance:variance is 156394.44184934732
INFO:cooler._balance:variance is 128199.2834201883
INFO:cooler._balance:variance is 89839.66472660405
INFO:cooler._balance:variance is 72399.90177745289
INFO:cooler._balance:variance is 51757.12305503619
INFO:cooler._balance:variance is 41192.95035552478
INFO:cooler._balance:variance is 29901.31289625365
INFO:cooler._balance:variance is 23578.675548235635
INFO:cooler._balance:variance is 17318.843730054574
INFO:cooler._balance:variance is 13562.133979145528
INFO:cooler._balance:variance is 10053.54081711697
INFO:cooler._balance:variance is 7831.495564545996
INFO:cooler._balance:variance is 5847.2394294845535
INFO:cooler._balance:variance is 4536.717774947813
INFO:cooler._balance:variance is 3406.308224594196
INFO:cooler._balance:variance is 2634.834867768911
INFO:cooler._balance:variance is 1987.020683622497
INFO:cooler._balance:variance is 1533.4309080527073
INFO:cooler._balance:variance is 1160.3962325905038
INFO:cooler._balance:variance is 893.9225323910179
INFO:cooler._balance:variance is 678.2833582800863
INFO:cooler._balance:variance is 521.8186560701703
INFO:cooler._balance:variance is 396.7767860457194
INFO:cooler._balance:variance is 304.9367684818856
INFO:cooler._balance:variance is 232.2485249321343
INFO:cooler._balance:variance is 178.35241232116488
INFO:cooler._balance:variance is 136.013783673273
INFO:cooler._balance:variance is 104.38872527734387
INFO:cooler._balance:variance is 79.68863007878363
INFO:cooler._balance:variance is 61.132823604727236
INFO:cooler._balance:variance is 46.70470703296231
INFO:cooler._balance:variance is 35.81739840050226
INFO:cooler._balance:variance is 27.380984262439693
INFO:cooler._balance:variance is 20.992982957785873
INFO:cooler._balance:variance is 16.05608533682271
INFO:cooler._balance:variance is 12.307904523241882
INFO:cooler._balance:variance is 9.41704285588569
INFO:cooler._balance:variance is 7.217707360092835
INFO:cooler._balance:variance is 5.524067685806413
INFO:cooler._balance:variance is 4.233501987260877
INFO:cooler._balance:variance is 3.240865043707788
