loop_id	direction	loop_type	anchor	gene
loop_3407	up_in_mutant	Other-Other	anchor1_nearest_gene	69419
loop_3407	up_in_mutant	Other-Other	anchor2_nearest_gene	236193
loop_32	down_in_mutant	Poised_Enhancer-Other	anchor1_nearest_gene	23965
loop_32	down_in_mutant	Poised_Enhancer-Other	anchor2_nearest_gene	100039954
loop_40	up_in_mutant	Poised_Enhancer-Other	anchor1_nearest_gene	378466
loop_40	up_in_mutant	Poised_Enhancer-Other	anchor2_nearest_gene	378466
loop_17497	down_in_mutant	Poised_Enhancer-Other	anchor1_nearest_gene	75996
loop_17497	down_in_mutant	Poised_Enhancer-Other	anchor2_nearest_gene	109215
loop_1233	down_in_mutant	Other-Other	anchor1_nearest_gene	244813
loop_1233	down_in_mutant	Other-Other	anchor2_nearest_gene	387236
loop_2388	up_in_mutant	Poised_Enhancer-Other	anchor1_nearest_gene	319520
loop_2388	up_in_mutant	Poised_Enhancer-Other	anchor2_nearest_gene	67276
loop_4173	up_in_mutant	Other-Other	anchor1_nearest_gene	100861755
loop_4173	up_in_mutant	Other-Other	anchor2_nearest_gene	105242399
loop_4400	up_in_mutant	Other-Other	anchor1_nearest_gene	69419
loop_4400	up_in_mutant	Other-Other	anchor2_nearest_gene	236193
loop_4402	up_in_mutant	Poised_Enhancer-Other	anchor1_nearest_gene	319520
loop_4402	up_in_mutant	Poised_Enhancer-Other	anchor2_nearest_gene	67276
loop_4482	up_in_mutant	Other-Other	anchor1_nearest_gene	17925
loop_4482	up_in_mutant	Other-Other	anchor2_nearest_gene	74015
loop_7624	up_in_mutant	Poised_Enhancer-Other	anchor1_nearest_gene	319520
loop_7624	up_in_mutant	Poised_Enhancer-Other	anchor2_nearest_gene	67276
loop_8921	up_in_mutant	Poised_Enhancer-Poised_Enhancer	anchor1_nearest_gene	78506
loop_8921	up_in_mutant	Poised_Enhancer-Poised_Enhancer	anchor2_nearest_gene	70546
loop_8976	up_in_mutant	Poised_Enhancer-Other	anchor1_nearest_gene	319582
loop_8976	up_in_mutant	Poised_Enhancer-Other	anchor2_nearest_gene	414128
loop_8987	down_in_mutant	Poised_Enhancer-Poised_Enhancer	anchor1_nearest_gene	320685
loop_8987	down_in_mutant	Poised_Enhancer-Poised_Enhancer	anchor2_nearest_gene	100039954
loop_10730	down_in_mutant	Poised_Enhancer-Poised_Enhancer	anchor1_nearest_gene	217980
loop_10730	down_in_mutant	Poised_Enhancer-Poised_Enhancer	anchor2_nearest_gene	66505
loop_12248	up_in_mutant	Poised_Enhancer-Other	anchor1_nearest_gene	224171
loop_12248	up_in_mutant	Poised_Enhancer-Other	anchor2_nearest_gene	667772
loop_13109	up_in_mutant	Other-Other	anchor1_nearest_gene	69368
loop_13109	up_in_mutant	Other-Other	anchor2_nearest_gene	241128
loop_15975	down_in_mutant	Promoter-Promoter	anchor1_nearest_gene	102635783
loop_15975	down_in_mutant	Promoter-Promoter	anchor2_nearest_gene	18028
loop_16412	up_in_mutant	Promoter-Active_Enhancer	anchor1_nearest_gene	100861755
loop_16412	up_in_mutant	Promoter-Active_Enhancer	anchor2_nearest_gene	105242399
loop_16947	down_in_mutant	Promoter-Other	anchor1_nearest_gene	12237
loop_16947	down_in_mutant	Promoter-Other	anchor2_nearest_gene	13593
loop_18278	up_in_mutant	Active_Enhancer-Poised_Enhancer	anchor1_nearest_gene	78506
loop_18278	up_in_mutant	Active_Enhancer-Poised_Enhancer	anchor2_nearest_gene	78506
loop_18319	up_in_mutant	Other-Other	anchor1_nearest_gene	17925
loop_18319	up_in_mutant	Other-Other	anchor2_nearest_gene	236193
loop_20492	up_in_mutant	Other-Other	anchor1_nearest_gene	14407
loop_20492	up_in_mutant	Other-Other	anchor2_nearest_gene	791383
loop_22318	up_in_mutant	Other-Other	anchor1_nearest_gene	18511
loop_22318	up_in_mutant	Other-Other	anchor2_nearest_gene	217593
loop_51	down_in_mutant	Poised_Enhancer-Poised_Enhancer	anchor1_nearest_gene	320685
loop_51	down_in_mutant	Poised_Enhancer-Poised_Enhancer	anchor2_nearest_gene	100039954
loop_59	down_in_mutant	Poised_Enhancer-Other	anchor1_nearest_gene	15111
loop_59	down_in_mutant	Poised_Enhancer-Other	anchor2_nearest_gene	109215
loop_62	down_in_mutant	Other-Other	anchor1_nearest_gene	15111
loop_62	down_in_mutant	Other-Other	anchor2_nearest_gene	58198
loop_225	down_in_mutant	Other-Other	anchor1_nearest_gene	69909
loop_225	down_in_mutant	Other-Other	anchor2_nearest_gene	103889
loop_1348	down_in_mutant	Poised_Enhancer-Other	anchor1_nearest_gene	23965
loop_1348	down_in_mutant	Poised_Enhancer-Other	anchor2_nearest_gene	100039954
