#Mapping quality	mapping quality
0.0	1576841.0
1.0	15518.0
2.0	80944.0
3.0	1040895.0
4.0	81154.0
5.0	38033.0
6.0	122197.0
7.0	1849272.0
8.0	2413901.0
9.0	40683.0
10.0	31126.0
11.0	1024170.0
12.0	87405.0
13.0	73736.0
14.0	360452.0
15.0	668679.0
16.0	297151.0
17.0	117583.0
18.0	256610.0
19.0	423542.0
20.0	189094.0
21.0	1135084.0
22.0	581022.0
23.0	9084761.0
24.0	8380597.0
25.0	963227.0
26.0	459299.0
27.0	248795.0
28.0	491957.0
29.0	1014278.0
30.0	9643753.0
31.0	6765828.0
32.0	7210332.0
33.0	2933409.0
34.0	9090837.0
35.0	5173419.0
36.0	4221793.0
37.0	3053868.0
38.0	3270700.0
39.0	2122342.0
40.0	2.1748521E7
41.0	9480280.0
42.0	7.65585556E8
