#GC Content (%)	Sample
1.0	6.845540643686187E-7
2.0	0.0
3.0	6.845540643686187E-7
4.0	3.4227703218430933E-6
5.0	2.053662193105856E-6
6.0	6.8455406436861866E-6
7.0	1.0268310965529279E-5
8.0	1.7798405673584085E-5
9.0	2.669760851037613E-5
10.0	4.997244669890917E-5
11.0	1.3211893442314343E-4
12.0	4.4016826338902186E-4
13.0	0.0013136592495233792
14.0	0.0035350371883995464
15.0	0.008397424707609845
16.0	0.016941343984994573
17.0	0.029317396914714834
18.0	0.044334459424769226
19.0	0.05983276344207475
20.0	0.07316308473752485
21.0	0.08321713028090676
22.0	0.08867371072798902
23.0	0.08982307700206392
24.0	0.08727995865293452
25.0	0.08863058382193381
26.0	0.06434534383439268
27.0	0.06116627475946482
28.0	0.05082813927936993
29.0	0.04052765427281533
30.0	0.03046265586440353
31.0	0.0220015676288074
32.0	0.01552020974736532
33.0	0.011033642409493396
34.0	0.007832667604505735
35.0	0.00549560002875127
36.0	0.003874576004326382
37.0	0.0027368471493457378
38.0	0.0020112198411150013
39.0	0.001464945697748844
40.0	0.0011438898415599618
41.0	9.576911360516975E-4
42.0	7.050906862996773E-4
43.0	5.544887921385812E-4
44.0	4.107324386211712E-4
45.0	3.744510732096344E-4
46.0	2.7998261232676505E-4
47.0	2.0262800305311112E-4
48.0	1.9167513802321318E-4
49.0	1.6223931325536262E-4
50.0	1.2938071816566893E-4
51.0	1.0679043404150452E-4
52.0	6.913996050123049E-5
53.0	6.366352798628156E-5
54.0	4.928789263454055E-5
55.0	3.901958166901126E-5
56.0	3.6965919475905404E-5
57.0	2.6013054446007513E-5
58.0	1.7798405673584085E-5
59.0	4.791878450580331E-6
60.0	5.476432514948949E-6
61.0	1.3691081287372374E-6
62.0	2.053662193105856E-6
63.0	6.845540643686187E-7
64.0	0.0
65.0	1.3691081287372374E-6
66.0	6.845540643686187E-7
67.0	2.053662193105856E-6
68.0	0.0
69.0	0.0
70.0	6.845540643686187E-7
71.0	0.0
72.0	0.0
73.0	6.845540643686187E-7
74.0	0.0
75.0	6.845540643686187E-7
76.0	0.0
77.0	0.0
78.0	0.0
79.0	0.0
80.0	1.3691081287372374E-6
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	5.476432514948949E-6
