#Coverage (X)	Coverage
1.0	32.41373817901176
2.0	13.433267797554706
3.0	3.9729218653481126
4.0	1.2820792167888442
5.0	0.37520637180377037
6.0	0.12451642252463557
7.0	0.04571483322985159
8.0	0.020856728801277313
9.0	0.011485476922970861
10.0	0.0076288433788676
11.0	0.0058063405910644406
12.0	0.004835779798568751
13.0	0.00426469981765365
14.0	0.0038701721572067527
15.0	0.0035720658388669335
16.0	0.0033426065262602833
17.0	0.0031308317977192246
18.0	0.00294565732527019
19.0	0.002780185387337042
20.0	0.002608879738062342
21.0	0.0024508191818313207
22.0	0.0023108467997445814
23.0	0.002184413030761334
24.0	0.002071334424840643
25.0	0.0019695196514959434
26.0	0.0018786018106595748
27.0	0.0018013326529455753
28.0	0.0017273289059858143
29.0	0.0016548294493645699
30.0	0.0015941074854453063
31.0	0.001536320722195228
32.0	0.0014801483193167542
33.0	0.0014250032366760479
34.0	0.001377893265882335
35.0	0.0013315537852633952
36.0	0.0012869754250459664
37.0	0.0012418100246947006
38.0	0.0012012675654062832
39.0	0.001159367575795045
40.0	0.0011176143462279242
41.0	0.0010796401875268202
42.0	0.0010498479007026162
43.0	0.0010186247035477436
44.0	9.915474773407595E-4
45.0	9.686529120926934E-4
46.0	9.500877678334518E-4
47.0	9.314859335631809E-4
48.0	9.156725399321886E-4
49.0	9.002627363940974E-4
50.0	8.838256126324495E-4
51.0	8.700301694659629E-4
