State (Emission order)	clust1.bed	clust2.bed	clust3.bed	clust4.bed	clust5.bed	clust6.bed
1_K119ub_Only	1.24458	1.32530	1.07534	1.32648	0.89231	0.98957
2_Polycomb_K119ub	1.04077	1.27663	0.89592	1.75231	2.56953	0.97434
3_Repressed_Enhancer_K119ub	1.08252	1.23607	0.96037	1.55158	2.15712	0.96458
4_K119ub_Poised_Enhancer	1.25357	1.30006	1.10246	1.30072	0.90806	1.00811
5_Poised_Enhancer	1.26359	1.21161	1.18314	1.02242	0.53962	1.08444
6_Active_Enhancer_K9ac	1.23123	1.15014	1.15223	0.83128	0.45296	1.03473
7_Active_Enhancer	1.30550	1.22385	1.23726	0.84444	0.34747	1.13331
8_Active_Enhancer_K119ub	1.32009	1.30336	1.19653	0.99311	0.56118	1.06459
9_Strong_Enhancer	1.34922	1.26784	1.29349	0.95634	0.32602	1.12589
10_Weak_Enhancer	1.33755	1.25821	1.27310	0.92036	0.35050	1.13307
11_Active_Promoter	1.30385	1.21062	1.23388	0.85517	0.37221	1.11312
12_K9ac_Promoter	1.23326	1.15513	1.12182	0.83702	0.41532	0.98626
13_Quiescent	0.98055	0.97878	0.98971	0.98333	0.98943	0.99717
14_CTCF_Open	1.16470	1.15658	1.03280	1.04941	0.69240	0.87233
15_ATAC_Enhancer	1.26722	1.22605	1.14973	1.03817	0.53500	1.02017
16_Insulator	1.17363	1.15216	1.07246	1.05808	0.75191	0.96874
17_Polycomb	0.98792	1.20915	0.88960	1.66049	3.23277	0.93107
18_Heterochromatin	0.79056	0.71548	0.91473	0.83081	0.66446	0.77839
Base	68.5008883077	64.8425030473	64.2088623548	40.1998606211	8.2468684684	48.1535739573
