State (Emission order)	clust6_short.bed	clust6_long.bed
1_K119ub_Only	2.49780	1.94883
2_Polycomb_K119ub	1.23911	6.61785
3_Repressed_Enhancer_K119ub	1.00540	4.43903
4_K119ub_Poised_Enhancer	2.41638	1.63136
5_Poised_Enhancer	1.95100	1.37274
6_Active_Enhancer_K9ac	3.78176	3.55207
7_Active_Enhancer	6.63318	5.07720
8_Active_Enhancer_K119ub	6.75778	3.93274
9_Strong_Enhancer	6.26975	2.86787
10_Weak_Enhancer	6.23753	3.69713
11_Active_Promoter	9.06634	6.24404
12_K9ac_Promoter	4.33064	3.84620
13_Quiescent	0.81915	0.84489
14_CTCF_Open	3.10904	1.77778
15_ATAC_Enhancer	2.69733	1.24340
16_Insulator	3.21522	3.06778
17_Polycomb	0.55883	1.53812
18_Heterochromatin	0.65165	0.63692
Base	0.9818312062	0.9853167804
