State (Emission order)	clust1.bed	clust2.bed	clust3.bed	clust4.bed	clust5.bed	clust6.bed
1_Polycomb	0.98796	1.20929	0.88961	1.66043	3.22893	0.93106
2_Polycomb_K119ub	1.04458	1.27269	0.90320	1.74137	2.53203	0.97629
3_K119ub_Only	1.24425	1.32517	1.07486	1.32776	0.89470	0.98921
4_K119ub_Poised_Enhancer	1.19009	1.28275	1.04413	1.40115	1.40953	0.99167
5_Poised_Enhancer	1.26359	1.21162	1.18314	1.02238	0.53957	1.08444
6_Active_Enhancer_K9ac	1.22589	1.14759	1.14622	0.84132	0.46991	1.03230
7_Active_Enhancer	1.31153	1.25583	1.22175	0.89638	0.42089	1.11478
8_Strong_Enhancer	1.34348	1.26321	1.28766	0.95405	0.34951	1.12555
9_Active_Promoter	1.30959	1.22302	1.23244	0.86539	0.38488	1.10453
10_K9ac_Promoter	1.22947	1.15716	1.12300	0.85309	0.44093	0.98928
11_Quiescent	0.98056	0.97878	0.98971	0.98333	0.98942	0.99717
12_CTCF_Open	1.16481	1.15665	1.03282	1.04955	0.69280	0.87245
13_ATAC_Enhancer	1.26725	1.22603	1.14971	1.03822	0.53503	1.02022
14_Insulator	1.17370	1.15207	1.07253	1.05812	0.75172	0.96882
15_Heterochromatin	0.79035	0.71542	0.91450	0.83127	0.66254	0.77883
Base	68.5008883077	64.8425030473	64.2088623548	40.1998606211	8.2468684684	48.1535739573
