State (Emission order)	clust6_short.bed	clust6_long.bed
1_K119ub_Only	1.31032	0.93963
2_Polycomb_K119ub	0.85535	0.96825
3_Repressed_Enhancer_K119ub	0.84173	0.95289
4_K119ub_Poised_Enhancer	1.30820	0.96616
5_Poised_Enhancer	1.70261	1.00822
6_Active_Enhancer_K9ac	1.55991	0.96896
7_Active_Enhancer	2.09240	1.05071
8_Active_Enhancer_K119ub	1.71787	1.01848
9_Strong_Enhancer	2.30912	0.99747
10_Weak_Enhancer	2.24726	1.03670
11_Active_Promoter	2.05666	1.01885
12_K9ac_Promoter	1.53697	0.90352
13_Quiescent	0.95444	1.00278
14_CTCF_Open	1.18324	0.79635
15_ATAC_Enhancer	1.66227	0.92943
16_Insulator	1.24868	0.91134
17_Polycomb	0.66826	0.93969
18_Heterochromatin	0.76752	0.76439
Base	10.5297360936	43.9173171910
