direction	transition_category	N	pct_of_direction	tp	tp_label
B_to_A_in_Mutant	Within_B_shift	947	18.36	250402	late/adult
B_to_A_in_Mutant	True_B_to_A	1788	34.66	250402	late/adult
B_to_A_in_Mutant	Within_A_shift	735	14.25	250402	late/adult
A_to_B_in_Mutant	Stable	1416	58.59	250402	late/adult
B_to_A_in_Mutant	Stable	1683	32.63	250402	late/adult
A_to_B_in_Mutant	Within_A_shift	368	15.23	250402	late/adult
A_to_B_in_Mutant	Within_B_shift	274	11.34	250402	late/adult
A_to_B_in_Mutant	True_A_to_B	339	14.03	250402	late/adult
A_to_B_in_Mutant	True_B_to_A	20	0.83	250402	late/adult
B_to_A_in_Mutant	True_A_to_B	5	0.1	250402	late/adult
