direction	transition_category	N	pct_of_direction	tp	tp_label
B_to_A_in_Mutant	Within_B_shift	947	18.36	250402	late/adult
B_to_A_in_Mutant	True_B_to_A	1788	34.66	250402	late/adult
B_to_A_in_Mutant	Within_A_shift	735	14.25	250402	late/adult
A_to_B_in_Mutant	Stable	1416	58.59	250402	late/adult
B_to_A_in_Mutant	Stable	1683	32.63	250402	late/adult
A_to_B_in_Mutant	Within_A_shift	368	15.23	250402	late/adult
A_to_B_in_Mutant	Within_B_shift	274	11.34	250402	late/adult
A_to_B_in_Mutant	True_A_to_B	339	14.03	250402	late/adult
A_to_B_in_Mutant	True_B_to_A	20	0.83	250402	late/adult
B_to_A_in_Mutant	True_A_to_B	5	0.1	250402	late/adult
A_to_B_in_Mutant	Stable	915	71.54	250831	early/P12
B_to_A_in_Mutant	True_A_to_B	1357	36.12	250831	early/P12
B_to_A_in_Mutant	Stable	1282	34.12	250831	early/P12
A_to_B_in_Mutant	Within_A_shift	199	15.56	250831	early/P12
A_to_B_in_Mutant	True_B_to_A	139	10.87	250831	early/P12
B_to_A_in_Mutant	Within_A_shift	701	18.66	250831	early/P12
B_to_A_in_Mutant	Within_B_shift	414	11.02	250831	early/P12
A_to_B_in_Mutant	True_A_to_B	9	0.7	250831	early/P12
A_to_B_in_Mutant	Within_B_shift	17	1.33	250831	early/P12
B_to_A_in_Mutant	True_B_to_A	3	0.08	250831	early/P12
