loop_type_extended	stripe_overlap_FALSE	stripe_overlap_TRUE
Active_Enhancer-Active_Enhancer	1	0
Active_Enhancer-CTCF_Site	1	0
Active_Promoter-Active_Enhancer	1	0
Active_Promoter-Active_Promoter	1	0
Active_Promoter-CTCF_Site	1	0
Active_Promoter-Polycomb	1	0
CTCF_Site-CTCF_Site	2	0
CTCF_Site-Other	1	0
Poised_Enhancer-CTCF_Site	3	0
Poised_Enhancer-Poised_Enhancer	1	0
Polycomb-CTCF_Site	2	0
Polycomb-Other	1	0
Polycomb-Poised_Enhancer	3	0
Polycomb-Polycomb	2	0
Repressed_Promoter-Bivalent_Promoter	1	0
Repressed_Promoter-Other	1	0
Repressed_Promoter-Polycomb	11	0
Repressed_Promoter-Repressed_Promoter	29	4
