State (Emission order)	Genome %	CpGIsland.mm10.bed.gz	RefSeqExon.mm10.bed.gz	RefSeqGene.mm10.bed.gz	RefSeqTES.mm10.bed.gz	RefSeqTSS.mm10.bed.gz	RefSeqTSS2kb.mm10.bed.gz
1	1.26443	3.05821	2.00746	1.21624	1.73077	3.22021	2.96729
2	0.59394	7.48795	3.34307	1.48609	3.18421	3.84897	5.70015
3	0.40943	1.27368	2.98473	1.51488	2.84690	1.52117	2.15731
4	0.42691	18.38452	3.62733	1.55305	2.01615	8.00293	4.72274
5	2.91974	0.36687	1.73943	2.10619	1.31002	0.99998	1.55893
6	0.30399	0.72778	2.24653	2.04357	1.86639	1.24348	1.80574
7	0.62194	9.37366	3.98977	2.12423	2.94779	9.19798	8.15706
8	0.67027	17.71973	4.37125	2.05918	2.75825	14.15823	9.50114
9	0.52775	34.45365	5.52039	1.97332	3.48854	22.66839	11.99375
10	0.49249	65.11384	7.30484	2.00991	2.67241	35.15354	18.85037
11	0.21015	6.66717	3.06589	2.01003	3.25087	3.94021	4.71309
12	90.27351	0.06527	0.78471	0.91924	0.87293	0.36929	0.59573
13	0.22961	23.70011	3.40930	1.33489	1.89945	23.20471	5.02342
14	0.23706	0.41943	1.44132	1.30633	1.77470	1.03270	1.34677
15	0.81879	1.50375	2.94912	0.94202	2.83304	2.54139	1.91276
Base	100	0.3847315121	2.4170208071	36.7540083919	0.0009506078	0.0010191452	3.5291167254
