State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	0.9128575085680859	0.018553027661745103	2.0774082498653654E-4	0.0017088757259815753	3.1659090014428084E-4	5.424473534473303E-6	5.718727645869437E-6	5.101890779619506E-4	6.302226859968295E-4	1.5037944481218807E-5	2.3534063984438077E-5	0.06469198061544375	7.285309393731556E-5	2.433055780520508E-4	1.5799005801885063E-4
2	0.039465167938961696	0.8779122694375213	0.004577669750092345	0.03498760805255895	8.810657157350118E-5	0.0	6.316791285103548E-5	0.012771808720546092	6.468118945429513E-4	2.542647654713158E-4	0.0	0.02900378958563961	4.044458050438922E-5	1.2721732796131603E-4	6.167346177540405E-5
3	4.651419964718395E-4	0.006103025994433969	0.8034130913438433	0.06593775870662258	0.0010313740267824867	1.782328496609832E-5	3.419492413331803E-4	0.0025543126125210573	0.011187283021857765	0.0010620367750070585	0.0011375587912941516	0.10502310258137457	3.87109416234651E-4	8.041670762144127E-4	5.342651310426171E-4
4	0.004965074622779514	0.049266241698155855	0.06469417581634267	0.8338396878425618	0.014162059782646345	0.0026475138809919714	0.002565789530420426	0.005286648051837543	1.0133201465575133E-4	1.0349014517159313E-4	0.005365787718223468	0.016118174950265227	4.7857320580289864E-4	3.285805485955081E-4	7.687019154946173E-5
5	1.627690479736004E-4	9.909923904060446E-6	1.508419881160962E-4	0.002199129173934493	0.7921682807326551	0.0023286072643546453	0.00188482855450051	0.004884829496185372	7.476213262021557E-4	2.0933375843052422E-4	1.3687314235539164E-4	0.18577147920944306	0.0072621588541479905	0.0011547013954659614	9.286361323308307E-4
6	2.4111370841114642E-5	0.0	2.422432155933302E-5	0.003042830761436983	0.02155614642970395	0.8379814770939158	0.021520899237906177	3.1423941672875406E-4	2.532561139988677E-5	0.0014516015536743202	0.08810232055608204	0.02525208243011657	3.206139866164575E-4	3.316899331577684E-4	5.2437296860874735E-5
7	0.0	6.175274326645591E-5	2.8307658269824854E-4	0.0017610383188908555	0.009410468801442093	0.010531152562885988	0.861944039210583	0.011350010347275936	0.004249179057310643	0.08419496570553027	0.0062976873308940315	0.009759168362650571	0.0	1.3552118845571695E-4	2.193978811611893E-5
8	8.350749040412911E-4	0.011178311555655362	0.0013815870414394602	0.003680368283979965	0.021711427661792147	9.687418358053452E-5	0.010091164798719802	0.8401378047065274	0.09123631584225382	0.0011388502795294222	0.0	0.018047592258285818	9.467055505469642E-5	2.158927786948954E-4	1.540651504452785E-4
9	0.0014702330039244316	8.060506220404034E-4	0.00865449142314362	1.921344669326411E-4	0.004804222754348912	0.0	0.004479082897440849	0.11439853911568314	0.7276772139544981	0.02040741391210348	6.174743132270602E-4	0.11339907311266129	0.0016092721223316868	9.68614180983099E-4	5.16184120681159E-4
10	3.047982249371034E-5	3.892105339175471E-4	0.0011624027746267758	9.115191800260002E-5	9.627498966943399E-4	9.134834369223816E-4	0.10890891160748889	0.0014351664819953656	0.022181501344984898	0.7992953613090852	0.02402244095760924	0.03960499617234169	4.393369822484659E-4	5.026252092399743E-4	6.018155234906734E-5
11	2.3326446101394293E-4	0.0	0.0018414880861060902	0.011346393671296187	0.0018785440715119702	0.12721997892381806	0.01738941217350869	7.949167451365763E-5	0.001466215151394709	0.05729701550561761	0.625713606420866	0.15268621959661405	6.743171086908696E-4	0.0016576167350917713	5.164364199561349E-4
12	9.08638213182691E-4	1.9033417505379544E-4	4.65188818359188E-4	8.1389900357266E-5	0.005983634606941546	8.03121048227443E-5	6.580244028775317E-5	1.3682234606261543E-4	6.645486380468459E-4	2.2837141820792467E-4	3.564867005979396E-4	0.9873102520493705	9.371754374345727E-4	0.0011916337940216693	0.0013994093572528036
13	3.071308645130941E-4	8.808063458660468E-5	9.405329803131648E-4	3.6980905444975175E-4	0.0903655315242395	2.46131732102836E-4	4.7072596587695206E-5	4.1011883599343627E-4	0.0033674376542201607	0.0010309158733166237	7.876611511969849E-4	0.3468514838302508	0.5470498972815333	0.006562872930540915	0.0015753230561551305
14	0.001753824011889278	2.631841375696109E-4	0.001254435156754951	3.95472266759054E-4	0.013499799816597257	3.110078761692026E-4	3.3643772965877267E-4	4.743429727404315E-4	0.0028131196370497925	0.0012091760471907335	0.0016206784945818127	0.45264833974039653	0.007320128587151439	0.5150191271767558	0.0010809263487352326
15	2.827403545099071E-4	5.873171519929733E-5	3.207533113143168E-4	3.283562205307621E-5	0.0030625337628029394	6.931509817010305E-5	3.588363435690178E-5	1.3758419948497037E-4	4.6807250633713486E-4	4.5003706575074406E-5	1.054130077260217E-4	0.15376136687755113	4.0881668413911986E-4	1.7319827163610177E-4	0.8410377512481436
