15	9	E	-3124092.9341970817	66
probinit	1	2.699933356411238E-231
probinit	2	0.0
probinit	3	2.008277150371261E-221
probinit	4	0.0
probinit	5	0.0
probinit	6	0.0
probinit	7	0.0
probinit	8	0.0
probinit	9	2.26705514458649E-175
probinit	10	0.0
probinit	11	3.035348859655342E-161
probinit	12	1.0
probinit	13	6.86605046791542E-148
probinit	14	1.8803550414416225E-173
probinit	15	2.9762501610126536E-191
transitionprobs	1	1	0.9128575085680859
transitionprobs	1	2	0.018553027661745103
transitionprobs	1	3	2.0774082498653654E-4
transitionprobs	1	4	0.0017088757259815753
transitionprobs	1	5	3.1659090014428084E-4
transitionprobs	1	6	5.424473534473303E-6
transitionprobs	1	7	5.718727645869437E-6
transitionprobs	1	8	5.101890779619506E-4
transitionprobs	1	9	6.302226859968295E-4
transitionprobs	1	10	1.5037944481218807E-5
transitionprobs	1	11	2.3534063984438077E-5
transitionprobs	1	12	0.06469198061544375
transitionprobs	1	13	7.285309393731556E-5
transitionprobs	1	14	2.433055780520508E-4
transitionprobs	1	15	1.5799005801885063E-4
transitionprobs	2	1	0.039465167938961696
transitionprobs	2	2	0.8779122694375213
transitionprobs	2	3	0.004577669750092345
transitionprobs	2	4	0.03498760805255895
transitionprobs	2	5	8.810657157350118E-5
transitionprobs	2	6	0.0
transitionprobs	2	7	6.316791285103548E-5
transitionprobs	2	8	0.012771808720546092
transitionprobs	2	9	6.468118945429513E-4
transitionprobs	2	10	2.542647654713158E-4
transitionprobs	2	11	0.0
transitionprobs	2	12	0.02900378958563961
transitionprobs	2	13	4.044458050438922E-5
transitionprobs	2	14	1.2721732796131603E-4
transitionprobs	2	15	6.167346177540405E-5
transitionprobs	3	1	4.651419964718395E-4
transitionprobs	3	2	0.006103025994433969
transitionprobs	3	3	0.8034130913438433
transitionprobs	3	4	0.06593775870662258
transitionprobs	3	5	0.0010313740267824867
transitionprobs	3	6	1.782328496609832E-5
transitionprobs	3	7	3.419492413331803E-4
transitionprobs	3	8	0.0025543126125210573
transitionprobs	3	9	0.011187283021857765
transitionprobs	3	10	0.0010620367750070585
transitionprobs	3	11	0.0011375587912941516
transitionprobs	3	12	0.10502310258137457
transitionprobs	3	13	3.87109416234651E-4
transitionprobs	3	14	8.041670762144127E-4
transitionprobs	3	15	5.342651310426171E-4
transitionprobs	4	1	0.004965074622779514
transitionprobs	4	2	0.049266241698155855
transitionprobs	4	3	0.06469417581634267
transitionprobs	4	4	0.8338396878425618
transitionprobs	4	5	0.014162059782646345
transitionprobs	4	6	0.0026475138809919714
transitionprobs	4	7	0.002565789530420426
transitionprobs	4	8	0.005286648051837543
transitionprobs	4	9	1.0133201465575133E-4
transitionprobs	4	10	1.0349014517159313E-4
transitionprobs	4	11	0.005365787718223468
transitionprobs	4	12	0.016118174950265227
transitionprobs	4	13	4.7857320580289864E-4
transitionprobs	4	14	3.285805485955081E-4
transitionprobs	4	15	7.687019154946173E-5
transitionprobs	5	1	1.627690479736004E-4
transitionprobs	5	2	9.909923904060446E-6
transitionprobs	5	3	1.508419881160962E-4
transitionprobs	5	4	0.002199129173934493
transitionprobs	5	5	0.7921682807326551
transitionprobs	5	6	0.0023286072643546453
transitionprobs	5	7	0.00188482855450051
transitionprobs	5	8	0.004884829496185372
transitionprobs	5	9	7.476213262021557E-4
transitionprobs	5	10	2.0933375843052422E-4
transitionprobs	5	11	1.3687314235539164E-4
transitionprobs	5	12	0.18577147920944306
transitionprobs	5	13	0.0072621588541479905
transitionprobs	5	14	0.0011547013954659614
transitionprobs	5	15	9.286361323308307E-4
transitionprobs	6	1	2.4111370841114642E-5
transitionprobs	6	2	0.0
transitionprobs	6	3	2.422432155933302E-5
transitionprobs	6	4	0.003042830761436983
transitionprobs	6	5	0.02155614642970395
transitionprobs	6	6	0.8379814770939158
transitionprobs	6	7	0.021520899237906177
transitionprobs	6	8	3.1423941672875406E-4
transitionprobs	6	9	2.532561139988677E-5
transitionprobs	6	10	0.0014516015536743202
transitionprobs	6	11	0.08810232055608204
transitionprobs	6	12	0.02525208243011657
transitionprobs	6	13	3.206139866164575E-4
transitionprobs	6	14	3.316899331577684E-4
transitionprobs	6	15	5.2437296860874735E-5
transitionprobs	7	1	0.0
