State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	2.05000	2.15250	2.24930	2.50271	2.57958	2.76750	2.92694	3.10632	3.20597	3.26576	3.22021	3.14618	3.13479	3.09493	3.05222	2.98389	2.96965	2.89277	2.86715	2.86430	2.78458
2	4.63695	4.92789	5.34007	5.57040	5.97651	6.09774	5.96439	5.58252	5.07337	4.29145	3.84897	3.90958	4.15810	4.49754	5.19459	6.29170	6.98876	7.58277	7.58883	7.42518	7.17060
3	2.64666	2.73458	2.44442	2.43563	2.31253	2.04874	2.08391	1.89047	1.62668	1.53875	1.52117	1.54755	1.63547	1.80254	1.93443	2.15425	2.31253	2.54993	2.65545	2.62907	2.72579
4	1.56011	1.80466	2.06609	2.35281	2.79976	3.33947	4.13217	4.97548	6.11393	7.28612	8.00293	8.10412	7.80053	7.43791	6.61991	5.56579	4.85741	4.02255	3.52500	3.14551	2.78289
5	1.37482	1.38222	1.39085	1.31317	1.20096	1.05793	0.93093	0.89887	0.92723	0.93833	0.99998	0.98395	0.94943	0.98642	1.31563	1.81378	2.45371	3.06653	3.44260	3.78538	3.93087
6	1.88299	2.09616	2.17906	2.40407	2.61724	2.49881	2.16721	1.88299	1.63429	1.33822	1.24348	1.17243	1.17243	1.17243	1.58692	1.81193	1.90667	2.08431	2.16721	2.02510	1.96589
7	3.14896	3.66414	4.53821	5.41807	6.51210	7.49036	8.48020	9.35427	10.39621	10.81298	9.19798	6.56999	6.65103	7.87241	10.62196	12.51481	12.87370	12.30064	11.31658	9.89839	8.61334
8	2.81983	3.20118	3.62549	4.24854	4.91993	5.62354	6.68165	8.35744	11.04836	13.92727	14.15823	12.61672	12.32131	13.28274	14.93166	15.46877	14.93704	13.51369	12.01516	10.54347	9.21681
9	3.19936	4.01114	4.87067	6.27593	8.18600	11.16706	14.80983	18.78686	21.87025	22.10219	22.66839	25.16512	25.07644	22.32048	17.32703	12.70876	9.35250	6.94445	5.69609	5.07532	4.38633
10	4.27632	5.14620	6.41083	8.33334	11.11112	15.46054	20.71640	25.61406	29.14477	31.48395	35.15354	39.13016	38.95472	36.19156	30.19009	24.10821	18.75002	14.91230	11.73247	9.59796	8.12866
11	3.66611	4.40275	5.36211	6.56130	7.43500	7.98320	8.06886	7.12664	5.94457	5.34498	3.94021	3.46053	3.25495	3.40914	3.32348	3.64897	3.70037	3.56332	3.58045	3.49479	3.30635
12	0.86607	0.84342	0.81479	0.77750	0.73371	0.67788	0.61128	0.53838	0.45746	0.38851	0.36929	0.38269	0.40897	0.43377	0.45742	0.48366	0.51286	0.54348	0.57674	0.60610	0.63820
13	1.66196	1.74035	1.69332	1.69332	1.94418	2.35183	2.86923	4.57823	10.12854	21.00967	23.20471	16.21194	7.24363	2.97898	1.67764	1.11320	0.86234	0.86234	0.86234	1.00345	0.98777
14	2.01983	1.74647	2.01983	2.03502	1.94390	1.89834	1.77685	1.80722	1.42755	1.18456	1.03270	0.41004	0.59228	0.92639	0.95676	0.97195	1.09344	1.07826	1.01751	1.10863	1.09344
15	1.05085	1.02007	1.03766	1.08603	1.09922	1.18276	1.26190	1.38501	1.80272	2.32594	2.54139	2.67330	2.70847	2.54579	2.29956	2.12369	1.96540	1.84229	1.74995	1.60046	1.45976
