State (Emission order)	CTCF	ATAC	H3K4me1	H3K27ac	H3K4me3	H3K9ac	H2AK119ub	H3K27me3	H3K9me3
1	0.007126898967803566	0.010228872274926176	0.04667335392620057	3.5760155586729527E-60	2.3135646524386235E-15	7.508201678253921E-5	3.238679581560644E-82	0.9941745868675145	0.012412214315916876
2	0.014263737861723236	0.014036626797978676	4.135153478010933E-6	0.0014072716964069615	0.0030634393810400713	0.07042353671403939	0.9976988748366961	0.9997606109210038	0.01758035901976603
3	0.017772795342480323	0.018441670704614756	1.0291476223387404E-31	0.006307416380428368	1.5212843160730945E-4	2.481874727901826E-26	0.9951057856001283	2.396275796227055E-35	0.019670196278818105
4	0.03472857597678771	0.20667368318551246	0.9999999999999732	0.12085584904658148	0.0034547766168472062	8.437383327430335E-67	0.9981338184511402	0.3270512980363693	0.021231164765632707
5	0.004698508764228399	0.060415660235251654	1.0	3.866625253317069E-97	0.0038432113579455304	2.5170278224447248E-87	1.5231215679372771E-77	1.6285442518966624E-53	1.389255690566627E-5
6	0.02384790973596004	0.2429653425404576	1.0	0.9987000513815455	0.016576293271044828	3.998488951244006E-76	7.719296096062243E-4	0.0013530918091120157	0.011219545940587229
7	0.03525342153871283	0.24193303063657562	1.0	0.9999999999996819	0.3105880139364813	0.9982455484954886	0.3613693173131514	0.016094617431976082	0.019124828893850115
8	0.03997685835660496	0.17730305528189558	1.0	1.0124136010957428E-106	0.12438172021272302	0.9983122802064447	0.3692705257185496	0.15401374958890157	0.01957889114695919
9	0.02853259608724391	0.1534849872715318	4.494547005261668E-24	8.91932781032412E-66	0.19723766804586262	0.952965277766119	0.175423661328073	0.03175095376302747	0.01834062515432603
10	0.03971608338202195	0.3179375293820418	7.080043060357662E-33	1.0	0.678919244741059	0.9968759744993494	0.25976615066617026	0.017462615273288545	0.02615634850010944
11	0.01587589569202913	0.05045215968811294	1.2619706266281616E-17	0.9673681100450643	0.05344760029442728	9.053969696194E-19	0.07300929805799859	0.0030767854366417972	0.011960983665081974
12	4.7910106666483246E-64	1.51008749908069E-15	1.6842641588414168E-79	1.2460248067911242E-174	1.8768791000609532E-17	7.070261404105283E-154	5.87264947158337E-128	3.9229669060630023E-135	3.611940882122294E-131
13	0.3788171818809188	0.961394140940828	0.35451416667463137	2.0526474209033905E-86	2.231915820929291E-4	1.6471937292688461E-83	1.0340126484097712E-66	4.424662343021764E-50	0.002522170880711226
14	0.9940031568118197	0.039223971645536246	0.020382586447549225	5.896896207946112E-46	1.2859796537879716E-29	2.6983285120505876E-46	2.4473600740347637E-52	9.951699471590967E-50	7.442816008909125E-5
15	0.0021729044721340283	0.016373413349698593	0.03196631195829913	1.508791297557976E-96	1.8893751613406802E-44	6.319439932464542E-71	3.478528320363899E-5	1.8999412433907968E-91	0.9904039625708109
