#Duplication rate	Coverage
1.0	1.3796729E7
2.0	1239969.0
3.0	10587.0
4.0	1893.0
5.0	569.0
6.0	530.0
7.0	360.0
8.0	315.0
9.0	217.0
10.0	198.0
11.0	172.0
12.0	164.0
13.0	132.0
14.0	118.0
15.0	101.0
16.0	99.0
17.0	103.0
18.0	94.0
19.0	87.0
20.0	87.0
21.0	81.0
22.0	77.0
23.0	71.0
24.0	69.0
25.0	50.0
26.0	57.0
27.0	57.0
28.0	43.0
29.0	41.0
30.0	34.0
31.0	48.0
32.0	37.0
33.0	38.0
34.0	36.0
35.0	33.0
36.0	33.0
37.0	38.0
38.0	23.0
39.0	25.0
40.0	34.0
41.0	28.0
42.0	22.0
43.0	28.0
44.0	26.0
45.0	28.0
46.0	33.0
47.0	21.0
48.0	17.0
49.0	24.0
50.0	1530.0
