#Insert size (bp)	insert size
20.0	382.0
21.0	555.0
22.0	737.0
23.0	864.0
24.0	1054.0
25.0	1154.0
26.0	1291.0
27.0	1329.0
28.0	1496.0
29.0	1502.0
30.0	2224.0
31.0	2304.0
32.0	2409.0
33.0	2677.0
34.0	2862.0
35.0	3053.0
36.0	3428.0
37.0	3763.0
38.0	4057.0
39.0	4337.0
40.0	4834.0
41.0	5154.0
42.0	5567.0
43.0	6143.0
44.0	6598.0
45.0	6857.0
46.0	7165.0
47.0	8024.0
48.0	8416.0
49.0	8644.0
50.0	9161.0
51.0	9830.0
52.0	10142.0
53.0	10701.0
54.0	11153.0
55.0	11767.0
56.0	12294.0
57.0	12928.0
58.0	13511.0
59.0	14060.0
60.0	14575.0
61.0	15174.0
62.0	15779.0
63.0	16259.0
64.0	16747.0
65.0	17178.0
66.0	18100.0
67.0	18608.0
68.0	19091.0
69.0	19597.0
70.0	20076.0
71.0	20714.0
72.0	21218.0
73.0	21646.0
74.0	22030.0
75.0	22801.0
76.0	23149.0
77.0	23574.0
78.0	23462.0
79.0	24142.0
80.0	24803.0
81.0	25180.0
82.0	25534.0
83.0	25864.0
84.0	26106.0
85.0	26801.0
86.0	26729.0
87.0	27221.0
88.0	27685.0
89.0	27460.0
90.0	28111.0
91.0	28133.0
92.0	28248.0
93.0	28531.0
94.0	28757.0
95.0	28793.0
96.0	29123.0
97.0	29522.0
98.0	29547.0
99.0	29697.0
100.0	30081.0
101.0	30682.0
102.0	30437.0
103.0	30561.0
104.0	30662.0
105.0	30625.0
106.0	30549.0
107.0	30712.0
108.0	30726.0
109.0	30797.0
110.0	30888.0
111.0	31158.0
112.0	31030.0
113.0	30975.0
114.0	31247.0
115.0	31242.0
116.0	30956.0
117.0	30860.0
118.0	31374.0
119.0	31243.0
120.0	30861.0
121.0	31065.0
122.0	30748.0
123.0	30715.0
124.0	30494.0
125.0	31025.0
126.0	30736.0
127.0	30394.0
128.0	30565.0
129.0	30329.0
130.0	30279.0
131.0	30271.0
132.0	30686.0
133.0	30321.0
134.0	29909.0
135.0	30099.0
136.0	30063.0
137.0	29983.0
138.0	30149.0
139.0	30084.0
140.0	29860.0
141.0	30049.0
142.0	29540.0
143.0	29688.0
144.0	29531.0
145.0	29453.0
146.0	29032.0
147.0	29126.0
148.0	29493.0
149.0	29040.0
150.0	28825.0
151.0	28801.0
152.0	28681.0
153.0	29036.0
154.0	28093.0
155.0	28657.0
156.0	28876.0
157.0	28540.0
158.0	28430.0
159.0	28481.0
160.0	28396.0
161.0	28255.0
162.0	28376.0
163.0	28053.0
164.0	28478.0
165.0	27982.0
166.0	28095.0
167.0	28038.0
168.0	28261.0
169.0	28009.0
170.0	27871.0
171.0	28022.0
172.0	28063.0
173.0	27649.0
174.0	28331.0
175.0	27401.0
176.0	27904.0
177.0	27910.0
178.0	28085.0
179.0	27859.0
180.0	27952.0
181.0	27870.0
182.0	27781.0
183.0	27942.0
184.0	28186.0
185.0	28310.0
186.0	28026.0
187.0	28101.0
188.0	28191.0
189.0	28109.0
190.0	28193.0
191.0	28161.0
192.0	28604.0
193.0	28448.0
194.0	28317.0
195.0	28692.0
196.0	28822.0
197.0	29002.0
198.0	28906.0
199.0	29068.0
200.0	29158.0
201.0	28728.0
202.0	28742.0
203.0	28986.0
204.0	28787.0
205.0	29235.0
206.0	29433.0
207.0	29627.0
208.0	29737.0
209.0	29312.0
210.0	29792.0
211.0	29681.0
212.0	29965.0
213.0	29914.0
214.0	30331.0
215.0	30339.0
216.0	30626.0
217.0	30546.0
218.0	31045.0
219.0	30711.0
220.0	30927.0
