#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	1.235662454087417E-6
5.0	6.1783122704370856E-6
6.0	5.560481043393377E-6
7.0	7.413974724524501E-6
8.0	1.4827949449049003E-5
9.0	1.4210118222005295E-5
10.0	2.409541785470463E-5
11.0	6.796143497480793E-5
12.0	1.9276334283763706E-4
13.0	5.894109905996979E-4
14.0	0.001873264280396524
15.0	0.005233648324287255
16.0	0.011872862690098946
17.0	0.022660195914282096
18.0	0.037759991103230334
19.0	0.05473366840380212
20.0	0.07135147491759675
21.0	0.084967239499186
22.0	0.09352420199374137
23.0	0.09577805030999684
24.0	0.09445712714657738
25.0	0.09691609543021135
26.0	0.06988350792214092
27.0	0.06580273266751721
28.0	0.05365369941892973
29.0	0.04173141023066729
30.0	0.030529512253137808
31.0	0.021728506423900184
32.0	0.014744542233398106
33.0	0.009762351218517637
34.0	0.006518737276538167
35.0	0.004381041230966936
36.0	0.0028327561759954037
37.0	0.001951728846231075
38.0	0.001259140040715078
39.0	8.260403505574383E-4
40.0	6.345126701738887E-4
41.0	4.2815704034128996E-4
42.0	3.15711757019335E-4
43.0	2.2921538523321586E-4
44.0	1.5569346921501454E-4
45.0	1.365407011766596E-4
46.0	8.71142030131629E-5
47.0	7.784673460750726E-5
48.0	5.004432939054039E-5
49.0	4.2630354666015886E-5
50.0	4.1394692211928474E-5
51.0	3.4598548714447675E-5
52.0	1.3592286994961587E-5
53.0	1.2974455767917877E-5
54.0	1.5445780676092712E-5
55.0	1.5445780676092712E-5
56.0	1.7299274357223838E-5
57.0	6.796143497480794E-6
58.0	1.0503130859743046E-5
59.0	1.8534936811311255E-6
60.0	3.0891561352185424E-6
61.0	0.0
62.0	1.235662454087417E-6
63.0	6.178312270437085E-7
64.0	6.178312270437085E-7
65.0	1.235662454087417E-6
66.0	0.0
67.0	1.235662454087417E-6
68.0	0.0
69.0	6.178312270437085E-7
70.0	0.0
71.0	0.0
72.0	0.0
73.0	6.178312270437085E-7
74.0	0.0
75.0	2.471324908174834E-6
76.0	0.0
77.0	0.0
78.0	0.0
79.0	0.0
80.0	6.178312270437085E-7
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	3.0891561352185424E-6
