#Mapping quality	mapping quality
0.0	1674169.0
1.0	19393.0
2.0	88023.0
3.0	1088113.0
4.0	86779.0
5.0	43927.0
6.0	143241.0
7.0	2390605.0
8.0	2462196.0
9.0	52567.0
10.0	37444.0
11.0	1284878.0
12.0	98498.0
13.0	81142.0
14.0	422640.0
15.0	788699.0
16.0	345464.0
17.0	133684.0
18.0	334567.0
19.0	494140.0
20.0	261172.0
21.0	1416056.0
22.0	731314.0
23.0	1.0697297E7
24.0	9593769.0
25.0	1175051.0
26.0	548855.0
27.0	286569.0
28.0	551206.0
29.0	1124203.0
30.0	1.1307699E7
31.0	7477511.0
32.0	8736665.0
33.0	3934104.0
34.0	1.0332346E7
35.0	5854436.0
36.0	4836742.0
37.0	3366290.0
38.0	3656649.0
39.0	2302218.0
40.0	2.4002409E7
41.0	1.2269602E7
42.0	8.86808842E8
