loop_id	sample	group	center_value	background_mean	enrichment
1	ctrl_M1	ctrl	4.20725727081299	1.52246253192425	2.76345537745051
1	ctrl_M2	ctrl	5.85672187805176	1.29226616024971	4.53213282078054
1	ctrl_M3	ctrl	4.11546325683594	1.15740609169006	3.55576429602722
1	mut_M1	mut	4.51995468139648	1.64669674634933	2.74486160941112
1	mut_M2	mut	6.82003450393677	1.02279716730118	6.66802247989459
1	mut_M3	mut	5.80032825469971	1.79466223716736	3.23198880244718
2	ctrl_M1	ctrl	8.00064849853516	14.8937397003174	0.53718197440799
2	ctrl_M2	ctrl	9.93807983398438	14.24080067873	0.697859625886615
2	ctrl_M3	ctrl	10.8781337738037	14.5596892237663	0.747140519733548
2	mut_M1	mut	6.66996288299561	15.1290318369865	0.440871759334215
2	mut_M2	mut	10.5822515487671	18.0405460000038	0.586581556276892
2	mut_M3	mut	11.5717134475708	13.528177857399	0.855378571271656
3	ctrl_M1	ctrl	11.3055448532104	6.83091589808464	1.65505548917393
3	ctrl_M2	ctrl	7.23526763916016	6.48386754095554	1.11588763858274
3	ctrl_M3	ctrl	7.60114192962646	6.63905417919159	1.14491337537963
3	mut_M1	mut	16.7139720916748	8.21500188112259	2.03456704374982
3	mut_M2	mut	9.67409324645996	10.0274525880814	0.964760806544087
3	mut_M3	mut	10.6613254547119	7.46142333745956	1.42885947794806
4	ctrl_M1	ctrl	8.07692050933838	3.07243359088898	2.62883485367747
4	ctrl_M2	ctrl	5.45621728897095	1.12710128724575	4.84092898367996
4	ctrl_M3	ctrl	4.44789552688599	1.73509123921394	2.56349373817427
4	mut_M1	mut	5.15990304946899	1.22119352221489	4.22529513595063
4	mut_M2	mut	4.68874073028564	2.72267174720764	1.72211017912622
4	mut_M3	mut	3.87044811248779	2.82342261075974	1.37083555884902
5	ctrl_M1	ctrl	4.75108480453491	3.94958226382732	1.20293349705569
5	ctrl_M2	ctrl	5.78458404541016	5.43412917852402	1.06449144938828
5	ctrl_M3	ctrl	9.91963195800781	5.90032279491425	1.68120157198145
5	mut_M1	mut	7.48643064498901	3.42476326227188	2.1859702617876
5	mut_M2	mut	4.06785345077515	5.76161098480225	0.706027092336705
5	mut_M3	mut	6.90826368331909	4.82946991920471	1.43043932334021
6	ctrl_M1	ctrl	5.70265674591064	0.738994717597961	7.7167760609259
6	ctrl_M2	ctrl	3.99007964134216	4.56933468580246	0.873229893564129
6	ctrl_M3	ctrl	3.94792127609253	2.35433781147003	1.67687120210989
6	mut_M1	mut	5.17392873764038	0.999221652746201	5.17795898779882
6	mut_M2	mut	7.34945583343506	2.17147800326347	3.38454077010667
6	mut_M3	mut	2.16092967987061	1.77259263396263	1.21907856236537
7	ctrl_M1	ctrl	3.93674802780151	0.874957129359245	4.49936104947736
7	ctrl_M2	ctrl	2.08433818817139	2.567063331604	0.811954330269292
