loop_type	count	percentage
CTCF_Site-CTCF_Site	338	11.6151202749141
Poised_Enhancer-CTCF_Site	306	10.5154639175258
Polycomb-CTCF_Site	190	6.52920962199313
Polycomb-Polycomb	175	6.01374570446735
Repressed_Promoter-Polycomb	172	5.9106529209622
Active_Enhancer-Poised_Enhancer	162	5.56701030927835
Poised_Enhancer-Poised_Enhancer	148	5.08591065292096
Active_Enhancer-Active_Enhancer	142	4.87972508591065
Repressed_Promoter-CTCF_Site	131	4.50171821305842
CTCF_Site-Other	128	4.39862542955326
Polycomb-Poised_Enhancer	128	4.39862542955326
Active_Promoter-Active_Enhancer	119	4.0893470790378
Active_Promoter-Poised_Enhancer	103	3.53951890034364
Poised_Enhancer-Other	80	2.74914089347079
Active_Promoter-Active_Promoter	78	2.68041237113402
Repressed_Promoter-Poised_Enhancer	76	2.61168384879725
Active_Promoter-CTCF_Site	64	2.19931271477663
Repressed_Promoter-Repressed_Promoter	64	2.19931271477663
Active_Enhancer-CTCF_Site	48	1.64948453608247
Polycomb-Other	47	1.61512027491409
Active_Enhancer-Other	27	0.927835051546392
Repressed_Promoter-Other	26	0.893470790378007
Other-Other	25	0.859106529209622
Active_Promoter-Other	24	0.824742268041237
Active_Promoter-Polycomb	22	0.756013745704467
Bivalent_Promoter-Poised_Enhancer	21	0.721649484536082
Active_Promoter-Repressed_Promoter	19	0.652920962199313
Polycomb-Active_Enhancer	12	0.412371134020619
Bivalent_Promoter-CTCF_Site	8	0.274914089347079
Bivalent_Promoter-Polycomb	7	0.240549828178694
Repressed_Promoter-Active_Enhancer	7	0.240549828178694
Bivalent_Promoter-Other	5	0.171821305841924
Bivalent_Promoter-Active_Enhancer	4	0.13745704467354
Active_Promoter-Bivalent_Promoter	3	0.103092783505155
Repressed_Promoter-Bivalent_Promoter	1	0.0343642611683849
