direction	ctrl_label	mut_label	N	transition_category	pct_of_direction
A_to_B_in_Mutant	A.1	A.1	449	Stable	18.58
A_to_B_in_Mutant	A.1	A.2	350	Within_A_shift	14.48
A_to_B_in_Mutant	A.1	B.1	31	True_A_to_B	1.28
A_to_B_in_Mutant	A.1	B.2	12	True_A_to_B	0.5
A_to_B_in_Mutant	A.2	A.1	18	Within_A_shift	0.74
A_to_B_in_Mutant	A.2	A.2	397	Stable	16.43
A_to_B_in_Mutant	A.2	B.1	272	True_A_to_B	11.25
A_to_B_in_Mutant	A.2	B.2	24	True_A_to_B	0.99
A_to_B_in_Mutant	B.1	A.1	3	True_B_to_A	0.12
A_to_B_in_Mutant	B.1	A.2	16	True_B_to_A	0.66
A_to_B_in_Mutant	B.1	B.1	257	Stable	10.63
A_to_B_in_Mutant	B.1	B.2	268	Within_B_shift	11.09
A_to_B_in_Mutant	B.2	A.2	1	True_B_to_A	0.04
A_to_B_in_Mutant	B.2	B.1	6	Within_B_shift	0.25
A_to_B_in_Mutant	B.2	B.2	313	Stable	12.95
B_to_A_in_Mutant	A.1	A.1	298	Stable	5.78
B_to_A_in_Mutant	A.1	A.2	15	Within_A_shift	0.29
B_to_A_in_Mutant	A.2	A.1	720	Within_A_shift	13.96
B_to_A_in_Mutant	A.2	A.2	427	Stable	8.28
B_to_A_in_Mutant	A.2	B.1	5	True_A_to_B	0.1
B_to_A_in_Mutant	B.1	A.1	211	True_B_to_A	4.09
B_to_A_in_Mutant	B.1	A.2	1326	True_B_to_A	25.71
B_to_A_in_Mutant	B.1	B.1	627	Stable	12.16
B_to_A_in_Mutant	B.2	A.1	31	True_B_to_A	0.6
B_to_A_in_Mutant	B.2	A.2	220	True_B_to_A	4.27
B_to_A_in_Mutant	B.2	B.1	947	Within_B_shift	18.36
B_to_A_in_Mutant	B.2	B.2	331	Stable	6.42
