	clust1	clust2	clust3	clust4	clust5	clust6
Polycomb	2.1925643469971403	3.640256959314775	1.0624169986719787	19.855595667870038	53.03030303030303	2.3904382470119523
Polycomb_K119ub	3.9084842707340326	6.852248394004283	3.3200531208499338	27.43682310469314	22.727272727272727	14.342629482071713
K119ub_Only	3.4318398474737846	4.817987152034261	2.5232403718459495	6.498194945848375	6.0606060606060606	1.1952191235059761
K119ub_Poised_Enhancer	2.8598665395614873	4.17558886509636	3.851261620185923	7.9422382671480145	9.090909090909092	2.3904382470119523
Poised_Enhancer	6.3870352716873215	4.710920770877944	5.710491367861886	3.9711191335740073	0.0	3.187250996015936
Active_Enhancer_K9ac	1.5252621544327931	1.284796573875803	0.6640106241699867	0.36101083032490977	1.5151515151515151	0.0
Active_Enhancer	10.200190657769305	11.991434689507495	10.092961487383798	1.8050541516245486	3.0303030303030303	6.772908366533865
Strong_Enhancer	34.699714013346046	28.907922912205567	34.13014608233732	7.9422382671480145	1.5151515151515151	33.06772908366534
Active_Promoter	31.553860819828408	29.22912205567452	35.590969455511285	20.938628158844764	3.0303030303030303	34.26294820717131
K9ac_Promoter	2.2878932316491896	3.1049250535331905	2.3904382470119523	3.2490974729241877	0.0	1.9920318725099602
CTCF_Open	0.0	0.0	0.0	0.0	0.0	0.0
ATAC_Enhancer	0.0	0.0	0.0	0.0	0.0	0.0
Insulator	0.0	0.0	0.0	0.0	0.0	0.0
Heterochromatin	0.9532888465204957	1.284796573875803	0.6640106241699867	0.0	0.0	0.398406374501992
