metric	value
pc1_r_lateKO_earlyWT	0.898589
pc1_r_lateWT_earlyWT	0.882187
pc1_r_lateKO_lateWT	0.985327
pc1_fisher_z	17.3176
pc1_fisher_p	1.73241e-67
pc1_n_bins	95394
loop_J_lateKO_earlyWT	0.479023
loop_J_lateWT_earlyWT	0.456141
loop_J_lateKO_lateWT	0.826323
gained_overlap_frac	0.839407
lost_overlap_frac	0.724785
perm_null_mean	0.654617
perm_z_score	27.6815
perm_empirical_p	9.999e-05
dist_D_lateKO_earlyWT	0.0811145
dist_p_lateKO_earlyWT	1.01463e-106
dist_D_lateKO_lateWT	0.0176921
dist_p_lateKO_lateWT	3.1287e-05
dist_D_lateWT_earlyWT	0.0718544
dist_p_lateWT_earlyWT	3.44417e-83
tad_shared_n	1520
tad_fisher_OR	1.68086
tad_fisher_p	5.65091e-07
tad_concordance_frac	0.44964
stripe_n_late_gained	3032
stripe_n_early_wt	3596
stripe_overlap_n	1078
stripe_overlap_frac	0.355541
maturation_compartment	86.0781
maturation_loop_pos	95.7925
maturation_loop_dist	125
