gene	n_enhancer_contacts	n_classes	classes	n_differential	median_logFC	mean_logFC	n_in_abc	mean_delta_abc
Cbln3	53	3	Activity_Lost;K119ub_Only;Stable	0	0.0687430023947421	0.0637822542524402	0	NA
Shf	42	4	Activity_Gain;Activity_Lost;K119ub_Only;Stable	2	0.036371074242472	0.0305884776557997	0	NA
C230035I16Rik	41	4	Activity_Gain;Activity_Lost;K119ub_Only;Stable	10	-0.0885606240490759	-0.0220950811712079	2	-0.000774
Gm20460	38	2	Activity_Lost;Stable	0	-0.00511481569436483	-0.00119855448289342	0	NA
Arrdc3	36	3	Activity_Lost;K119ub_Only;Stable	3	-0.0623384976178378	-0.0281575535275377	5	-0.0049522
Tcf4	36	3	Activity_Lost;K119ub_Only;Stable	6	-0.0116017336536868	-0.0479695041359626	15	0.00102253333333333
H2bc13	33	4	Activity_Gain;Activity_Lost;K119ub_Only;Stable	6	-0.128910230188172	-0.113350652894692	3	-0.00496533333333333
Gm11292	30	3	Activity_Gain;K119ub_Only;Stable	17	-0.134611029641456	-0.0114132374929069	1	-0.012196
Mpzl1	30	3	Activity_Lost;K119ub_Only;Stable	1	-0.00854755760664901	-0.0193819744779533	5	-0.0044696
Atp6v1g2	29	1	Stable	0	0.0169489377952435	0.0110760923653491	1	-0.004666
Cited2	29	3	Activity_Lost;K119ub_Only;Stable	10	-0.206341916442626	-0.183869649878327	11	-0.0167627272727273
U2af2	29	2	Activity_Lost;Stable	0	-0.0477381424594074	-0.0221046297927	2	0.002733
Ybx3	28	2	K119ub_Only;Stable	9	-0.189798790366177	-0.175888707911081	2	-0.004571
Gm17750	27	3	Activity_Lost;K119ub_Only;Stable	5	-0.0920494758328537	-0.10537460853732	9	-0.0109072222222222
Leng8	27	2	Activity_Lost;Stable	0	0.0471395233519524	-0.0405454341467266	2	-0.003019
Myt1l	27	3	Activity_Gain;Activity_Lost;Stable	11	-0.212324744068012	-0.141603043264618	3	0.0184586666666667
Atp1b1	26	3	Activity_Lost;K119ub_Only;Stable	12	-0.156152339641694	-0.123989217821225	5	-0.0127782
Derl1	26	3	Activity_Lost;K119ub_Only;Stable	22	-0.218289044243473	-0.116646060311042	12	-0.00329975
Gm44511	26	3	Activity_Lost;K119ub_Only;Stable	5	-0.0392627236773098	-0.0368508987719736	0	NA
Igfbp5	26	3	Activity_Lost;K119ub_Only;Stable	0	-0.029398947061235	-0.0347430774163589	9	-0.00245955555555556
Kdm6b	26	1	Stable	0	-0.0426158958735609	-0.055768993215608	0	NA
1700016G22Rik	25	3	Activity_Gain;K119ub_Only;Stable	1	-0.225058128143877	-0.189278363106821	2	0.032195
8430419K02Rik	25	2	Activity_Lost;Stable	18	-0.202162192166005	-0.248829542089143	8	-0.026494375
Gm26803	25	3	Activity_Lost;K119ub_Only;Stable	2	0.0614282207444919	0.0876855506815684	2	-0.0152445
Gprc5b	25	3	Activity_Lost;K119ub_Only;Stable	0	-0.0612477113855798	-0.0835756004870791	2	-0.003854
