enhancer_class	partner_type	n	median_logFC	mean_logFC	sd_logFC	wilcox_p
Activity_Lost	Active_Promoter	2956	-0.0909399277232652	-0.102078413731978	0.144773169705295	1.28634864175657e-251
Activity_Lost	Repressed_Promoter	187	-0.0208748458562223	-0.0109558262330749	0.158907994768913	0.364917711236822
Activity_Lost	Bivalent_Promoter	82	-0.127077275368273	-0.128243893445518	0.191569367665688	1.52546048473145e-08
Activity_Lost	Polycomb	193	0.0918986800422176	0.073253940339464	0.165946552038572	2.33894181012323e-10
Activity_Lost	Active_Enhancer	4494	-0.123980346634796	-0.132971166221067	0.153553867352728	0
Activity_Lost	Poised_Enhancer	3204	-0.0726323465187705	-0.0701737378326621	0.152287458036597	1.1502803182719e-151
Activity_Lost	Other	2294	-0.0521729272185657	-0.0581178330258608	0.163805013719793	3.70016012452766e-63
K119ub_Only	Active_Promoter	1575	-0.0622006226756092	-0.0584005018717715	0.144096064583787	2.76956150050242e-62
K119ub_Only	Repressed_Promoter	82	0.0578008348991848	0.0450002255081642	0.216288710164501	0.0205526881907483
K119ub_Only	Bivalent_Promoter	48	-0.0382013428462864	-0.0331437665664966	0.162468197734226	0.146690713634192
K119ub_Only	Polycomb	111	0.0634625449427505	0.0518643005971918	0.185466237865965	0.00425744689890612
K119ub_Only	Active_Enhancer	1326	-0.0739681238172973	-0.0830329307079112	0.138059615815778	2.90751096665703e-86
K119ub_Only	Poised_Enhancer	1260	-0.0479469704909729	-0.0340299323855901	0.16228547441592	7.71935712887391e-22
K119ub_Only	Other	970	-0.0368597596616645	-0.0287281707602853	0.172256066911299	2.59903870767489e-10
Activity_Gain	Active_Promoter	552	0.0182423187693553	0.0143225358196197	0.160372770110517	0.00234127007842853
Activity_Gain	Repressed_Promoter	198	0.124129291058389	0.104228583896473	0.264409840045361	2.98045836451904e-12
Activity_Gain	Bivalent_Promoter	23	0.137832022612746	0.115682693531682	0.185596834794514	0.00707857039775088
Activity_Gain	Polycomb	422	0.136621968630654	0.117864901118946	0.288119226431758	6.04979932758119e-24
Activity_Gain	Active_Enhancer	410	0.0631414087942867	0.0522848359903342	0.12448966475497	5.7141698798307e-21
Activity_Gain	Poised_Enhancer	1052	0.0728556470305712	0.0719424233258213	0.18167774911397	2.69651690855441e-41
Activity_Gain	Other	835	0.0562838635635648	0.0569872269238807	0.215875170187928	7.11292816128254e-17
Stable	Active_Promoter	16680	-0.0324359489299643	-0.0325532477282199	0.12878460075169	2.98503943113299e-237
Stable	Repressed_Promoter	2772	0.049025140932733	0.0409645330927871	0.189674839945665	2.08267557894001e-52
Stable	Bivalent_Promoter	351	-0.0102123799930824	-0.0070467853176246	0.14391390199206	0.353653627774019
Stable	Polycomb	2805	0.0747757593969196	0.0744592424770157	0.181021103579054	4.22050871411891e-110
Stable	Active_Enhancer	11573	-0.0283938313113981	-0.0342615480449362	0.128333273218	2.68845032851117e-153
Stable	Poised_Enhancer	16084	-0.0054192374023401	-0.0046367733291457	0.138478206955145	5.09866136562682e-05
Stable	Other	20130	-0.00379423850509992	-0.00272419529923506	0.143690156001412	0.000390553717777714
