enhancer_class	promoter_type	Freq	n_enhancers	contacts_per_enhancer
Activity_Lost	Active_Promoter	2956	7503	0.393975743036119
K119ub_Only	Active_Promoter	1575	2479	0.63533682936668
Activity_Gain	Active_Promoter	552	2851	0.193616274991231
Stable	Active_Promoter	16680	42864	0.389137737961926
Activity_Lost	Repressed_Promoter	187	7503	0.0249233639877382
K119ub_Only	Repressed_Promoter	82	2479	0.0330778539733764
Activity_Gain	Repressed_Promoter	198	2851	0.0694493160294633
Stable	Repressed_Promoter	2772	42864	0.0646696528555431
Activity_Lost	Bivalent_Promoter	82	7503	0.0109289617486339
K119ub_Only	Bivalent_Promoter	48	2479	0.0193626462283179
Activity_Gain	Bivalent_Promoter	23	2851	0.0080673447913013
Stable	Bivalent_Promoter	351	42864	0.00818868980963046
Activity_Lost	Polycomb	0	7503	0
K119ub_Only	Polycomb	0	2479	0
Activity_Gain	Polycomb	0	2851	0
Stable	Polycomb	0	42864	0
Activity_Lost	Active_Enhancer	0	7503	0
K119ub_Only	Active_Enhancer	0	2479	0
Activity_Gain	Active_Enhancer	0	2851	0
Stable	Active_Enhancer	0	42864	0
Activity_Lost	Poised_Enhancer	0	7503	0
K119ub_Only	Poised_Enhancer	0	2479	0
Activity_Gain	Poised_Enhancer	0	2851	0
Stable	Poised_Enhancer	0	42864	0
Activity_Lost	Other	0	7503	0
K119ub_Only	Other	0	2479	0
Activity_Gain	Other	0	2851	0
Stable	Other	0	42864	0
