loop_type	count	percentage
Other-Other	491	16.872852233677
Poised_Enhancer-Other	386	13.2646048109966
Polycomb-Other	237	8.14432989690722
Polycomb-Polycomb	175	6.01374570446735
Repressed_Promoter-Polycomb	172	5.9106529209622
Active_Enhancer-Poised_Enhancer	162	5.56701030927835
Repressed_Promoter-Other	157	5.39518900343643
Poised_Enhancer-Poised_Enhancer	149	5.12027491408935
Active_Enhancer-Active_Enhancer	143	4.91408934707904
Polycomb-Poised_Enhancer	128	4.39862542955326
Active_Promoter-Active_Enhancer	119	4.0893470790378
Active_Promoter-Poised_Enhancer	103	3.53951890034364
Active_Promoter-Other	88	3.02405498281787
Active_Promoter-Active_Promoter	78	2.68041237113402
Repressed_Promoter-Poised_Enhancer	76	2.61168384879725
Active_Enhancer-Other	75	2.57731958762887
Repressed_Promoter-Repressed_Promoter	64	2.19931271477663
Active_Promoter-Polycomb	22	0.756013745704467
Bivalent_Promoter-Poised_Enhancer	20	0.687285223367698
Active_Promoter-Repressed_Promoter	19	0.652920962199313
Bivalent_Promoter-Other	13	0.446735395189003
Polycomb-Active_Enhancer	12	0.412371134020619
Bivalent_Promoter-Polycomb	7	0.240549828178694
Repressed_Promoter-Active_Enhancer	7	0.240549828178694
Active_Promoter-Bivalent_Promoter	3	0.103092783505155
Bivalent_Promoter-Active_Enhancer	3	0.103092783505155
Repressed_Promoter-Bivalent_Promoter	1	0.0343642611683849
