dominant_homer_direction	transition_category	N	pct_of_direction	tp	tp_label
B_to_A_in_Mutant	Within_B_shift	346	18.62	250402	late/adult
B_to_A_in_Mutant	True_B_to_A	552	29.71	250402	late/adult
B_to_A_in_Mutant	Within_A_shift	268	14.42	250402	late/adult
A_to_B_in_Mutant	Stable	556	62.47	250402	late/adult
B_to_A_in_Mutant	Stable	690	37.14	250402	late/adult
A_to_B_in_Mutant	Within_A_shift	124	13.93	250402	late/adult
A_to_B_in_Mutant	Within_B_shift	90	10.11	250402	late/adult
A_to_B_in_Mutant	True_A_to_B	112	12.58	250402	late/adult
A_to_B_in_Mutant	True_B_to_A	8	0.9	250402	late/adult
B_to_A_in_Mutant	True_A_to_B	2	0.11	250402	late/adult
A_to_B_in_Mutant	Stable	407	73.87	250831	early/P12
B_to_A_in_Mutant	True_B_to_A	406	30.9	250831	early/P12
B_to_A_in_Mutant	Stable	512	38.96	250831	early/P12
A_to_B_in_Mutant	Within_A_shift	74	13.43	250831	early/P12
A_to_B_in_Mutant	True_A_to_B	56	10.16	250831	early/P12
B_to_A_in_Mutant	Within_A_shift	262	19.94	250831	early/P12
B_to_A_in_Mutant	Within_B_shift	133	10.12	250831	early/P12
A_to_B_in_Mutant	True_B_to_A	5	0.91	250831	early/P12
A_to_B_in_Mutant	Within_B_shift	9	1.63	250831	early/P12
B_to_A_in_Mutant	True_A_to_B	1	0.08	250831	early/P12
