#Mapping quality	mapping quality
0.0	725433.0
1.0	9011.0
2.0	38128.0
3.0	481809.0
4.0	35613.0
5.0	12734.0
6.0	48260.0
7.0	720384.0
8.0	1017974.0
9.0	7872.0
10.0	6969.0
11.0	401827.0
12.0	22571.0
13.0	15503.0
14.0	108734.0
15.0	243475.0
16.0	65102.0
17.0	25193.0
18.0	41502.0
19.0	57158.0
20.0	27220.0
21.0	322018.0
22.0	135278.0
23.0	3726080.0
24.0	3471170.0
25.0	162137.0
26.0	103140.0
27.0	36787.0
28.0	57640.0
29.0	126328.0
30.0	2993325.0
31.0	2300613.0
32.0	1949491.0
33.0	347325.0
34.0	3282734.0
35.0	1576236.0
36.0	1103785.0
37.0	852713.0
38.0	736718.0
39.0	566184.0
40.0	8198953.0
41.0	952925.0
42.0	2.67601439E8
