#Insert size (bp)	insert size
20.0	174.0
21.0	219.0
22.0	271.0
23.0	390.0
24.0	445.0
25.0	518.0
26.0	553.0
27.0	635.0
28.0	695.0
29.0	805.0
30.0	1031.0
31.0	1265.0
32.0	1391.0
33.0	1470.0
34.0	1748.0
35.0	1999.0
36.0	2232.0
37.0	2324.0
38.0	2698.0
39.0	2952.0
40.0	3244.0
41.0	3379.0
42.0	3768.0
43.0	4136.0
44.0	4375.0
45.0	4562.0
46.0	4806.0
47.0	5130.0
48.0	5334.0
49.0	5551.0
50.0	5816.0
51.0	5816.0
52.0	6189.0
53.0	6218.0
54.0	6417.0
55.0	6514.0
56.0	6540.0
57.0	6548.0
58.0	6853.0
59.0	6852.0
60.0	6992.0
61.0	7158.0
62.0	7151.0
63.0	7202.0
64.0	7406.0
65.0	7387.0
66.0	7461.0
67.0	7368.0
68.0	7423.0
69.0	7425.0
70.0	7630.0
71.0	7632.0
72.0	7706.0
73.0	7696.0
74.0	7806.0
75.0	7889.0
76.0	8079.0
77.0	7940.0
78.0	8022.0
79.0	8203.0
80.0	8148.0
81.0	8250.0
82.0	8265.0
83.0	8733.0
84.0	8581.0
85.0	8701.0
86.0	8782.0
87.0	8964.0
88.0	9158.0
89.0	9230.0
90.0	9456.0
91.0	9638.0
92.0	9512.0
93.0	9654.0
94.0	9823.0
95.0	9883.0
96.0	10079.0
97.0	10178.0
98.0	10409.0
99.0	10398.0
100.0	10632.0
101.0	10951.0
102.0	10974.0
103.0	11114.0
104.0	11088.0
105.0	11176.0
106.0	11256.0
107.0	11191.0
108.0	11487.0
109.0	11379.0
110.0	11447.0
111.0	11451.0
112.0	11637.0
113.0	11437.0
114.0	11572.0
115.0	11740.0
116.0	11886.0
117.0	11837.0
118.0	11723.0
119.0	11617.0
120.0	11990.0
121.0	11804.0
122.0	11971.0
123.0	11783.0
124.0	11734.0
125.0	11969.0
126.0	11941.0
127.0	11926.0
128.0	11874.0
129.0	11997.0
130.0	11866.0
131.0	11812.0
132.0	12309.0
133.0	11938.0
134.0	11888.0
135.0	11884.0
136.0	11828.0
137.0	11895.0
138.0	11911.0
139.0	11951.0
140.0	11929.0
141.0	11845.0
142.0	11483.0
143.0	11882.0
144.0	11698.0
145.0	11563.0
146.0	11699.0
147.0	11663.0
148.0	11605.0
149.0	11477.0
150.0	11606.0
151.0	11621.0
152.0	11555.0
153.0	11581.0
154.0	11479.0
155.0	11296.0
156.0	11351.0
157.0	11280.0
158.0	11206.0
159.0	11196.0
160.0	11138.0
161.0	11162.0
162.0	11141.0
163.0	11029.0
164.0	10911.0
165.0	10812.0
166.0	10700.0
167.0	10632.0
168.0	10662.0
169.0	10746.0
170.0	10660.0
171.0	10438.0
172.0	10448.0
173.0	10141.0
174.0	10157.0
175.0	10065.0
176.0	10131.0
177.0	10025.0
178.0	9920.0
179.0	9671.0
180.0	9721.0
181.0	9745.0
182.0	9767.0
183.0	9654.0
184.0	9411.0
185.0	9319.0
186.0	9325.0
187.0	9135.0
