#Coverage (X)	Coverage
1.0	11.180013927739992
2.0	3.5179434168370705
3.0	0.42355668502779054
4.0	0.10924383962348827
5.0	0.01841049587049781
6.0	0.007082419083602076
7.0	0.003413381552491046
8.0	0.0025000571731226273
9.0	0.00202829704497276
10.0	0.0017655232047388836
11.0	0.0015530513660308998
12.0	0.0014098502632009513
13.0	0.0012806647435894547
14.0	0.0011809046107202903
15.0	0.0010965909713860356
16.0	0.001024972074972652
17.0	9.759175337222814E-4
18.0	9.273766525978999E-4
19.0	8.813673820498025E-4
20.0	8.481629244414535E-4
21.0	8.157656470189067E-4
22.0	7.926509417188754E-4
23.0	7.710405267715714E-4
24.0	7.502372919958589E-4
25.0	7.359281887175939E-4
26.0	7.214723254094224E-4
27.0	7.063927319563845E-4
28.0	6.946152392544036E-4
29.0	6.815169062548421E-4
30.0	6.713537739244657E-4
31.0	6.603467713972577E-4
32.0	6.517246194164272E-4
33.0	6.435427475395272E-4
34.0	6.37195376086197E-4
35.0	6.287199841494839E-4
36.0	6.21822262573346E-4
37.0	6.141540508224352E-4
38.0	6.070361891943321E-4
39.0	6.009089577929672E-4
40.0	5.958090466293697E-4
41.0	5.894249851650102E-4
42.0	5.829308536817734E-4
43.0	5.766201722394726E-4
44.0	5.726209613214905E-4
45.0	5.677778802066769E-4
46.0	5.633383891847643E-4
47.0	5.575413678542418E-4
48.0	5.527349767504575E-4
49.0	5.486623858104167E-4
50.0	5.429020544909235E-4
51.0	5.391596736359361E-4
