#GC Content (%)	Sample
1.0	0.0
2.0	4.569423247397713E-6
3.0	2.2847116236988566E-6
4.0	0.0
5.0	2.2847116236988566E-6
6.0	9.138846494795427E-6
7.0	1.5992981365891998E-5
8.0	1.370826974219314E-5
9.0	1.3708269742193139E-5
10.0	2.2847116236988567E-5
11.0	3.6555385979181706E-5
12.0	1.2794385092713598E-4
13.0	2.695959715964651E-4
14.0	0.0010760991747621614
15.0	0.0033676649333321145
16.0	0.008245524249929175
17.0	0.017599133637352292
18.0	0.0321733090849273
19.0	0.05019282966104018
20.0	0.06820778081390566
21.0	0.0841207972729682
22.0	0.09329391444211911
23.0	0.09849163338603402
24.0	0.09793644846147517
25.0	0.09979391901154236
26.0	0.07324785465578534
27.0	0.06849108505524433
28.0	0.05605768439907515
29.0	0.044926569368414326
30.0	0.03290670151613463
31.0	0.02282198440912788
32.0	0.015186478162726301
33.0	0.010381729618087605
34.0	0.00687469727570986
35.0	0.004338667373404129
36.0	0.0030272429014009854
37.0	0.0021339206565347316
38.0	0.001306855048755746
39.0	9.275929192217357E-4
40.0	6.100180035275948E-4
41.0	4.455187666212771E-4
42.0	2.901583762097548E-4
43.0	2.1933231587509025E-4
44.0	1.7363808340111313E-4
45.0	1.3708269742193142E-4
46.0	1.005273114427497E-4
47.0	7.539548358206227E-5
48.0	5.483307896877256E-5
49.0	4.7978944097675987E-5
50.0	5.483307896877256E-5
51.0	2.2847116236988567E-5
52.0	1.8277692989590853E-5
53.0	6.8541348710965695E-6
54.0	1.370826974219314E-5
55.0	1.370826974219314E-5
56.0	1.8277692989590853E-5
57.0	1.1423558118494284E-5
58.0	6.8541348710965695E-6
59.0	4.569423247397713E-6
60.0	0.0
61.0	0.0
62.0	4.569423247397713E-6
63.0	4.569423247397713E-6
64.0	0.0
65.0	0.0
66.0	0.0
67.0	2.2847116236988566E-6
68.0	0.0
69.0	0.0
70.0	2.2847116236988566E-6
71.0	0.0
72.0	0.0
73.0	0.0
74.0	0.0
75.0	4.569423247397713E-6
76.0	0.0
77.0	0.0
78.0	0.0
79.0	0.0
80.0	2.2847116236988566E-6
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	6.85413487109657E-6
