#Duplication rate	Coverage
1.0	3469242.0
2.0	467368.0
3.0	1897.0
4.0	968.0
5.0	357.0
6.0	388.0
7.0	225.0
8.0	271.0
9.0	174.0
10.0	194.0
11.0	123.0
12.0	172.0
13.0	95.0
14.0	117.0
15.0	90.0
16.0	75.0
17.0	66.0
18.0	80.0
19.0	64.0
20.0	66.0
21.0	46.0
22.0	47.0
23.0	56.0
24.0	49.0
25.0	39.0
26.0	39.0
27.0	44.0
28.0	30.0
29.0	36.0
30.0	35.0
31.0	26.0
32.0	25.0
33.0	17.0
34.0	25.0
35.0	26.0
36.0	30.0
37.0	21.0
38.0	25.0
39.0	16.0
40.0	24.0
41.0	19.0
42.0	23.0
43.0	15.0
44.0	15.0
45.0	14.0
46.0	17.0
47.0	13.0
48.0	11.0
49.0	20.0
50.0	1077.0
