anchor	type	count	percentage
Anchor1	Active_Promoter	3	1.81818181818182
Anchor1	Repressed_Promoter	60	36.3636363636364
Anchor1	Bivalent_Promoter	2	1.21212121212121
Anchor1	Polycomb	18	10.9090909090909
Anchor1	Active_Enhancer_Proximal	0	0
Anchor1	Active_Enhancer_Distal	7	4.24242424242424
Anchor1	Poised_Enhancer_Proximal	2	1.21212121212121
Anchor1	Poised_Enhancer_Distal	12	7.27272727272727
Anchor1	CTCF_Site	47	28.4848484848485
Anchor1	Other	14	8.48484848484848
Anchor2	Active_Promoter	11	6.66666666666667
Anchor2	Repressed_Promoter	58	35.1515151515151
Anchor2	Bivalent_Promoter	1	0.606060606060606
Anchor2	Polycomb	21	12.7272727272727
Anchor2	Active_Enhancer_Proximal	0	0
Anchor2	Active_Enhancer_Distal	5	3.03030303030303
Anchor2	Poised_Enhancer_Proximal	0	0
Anchor2	Poised_Enhancer_Distal	10	6.06060606060606
Anchor2	CTCF_Site	46	27.8787878787879
Anchor2	Other	13	7.87878787878788
