loop_type	count	percentage
Other-Other	474	16.2886597938144
Poised_Enhancer-Other	372	12.7835051546392
Polycomb-Other	232	7.97250859106529
Polycomb-Polycomb	176	6.04810996563574
Active_Enhancer-Active_Enhancer	170	5.84192439862543
Repressed_Promoter-Polycomb	166	5.70446735395189
Repressed_Promoter-Other	144	4.94845360824742
Poised_Enhancer-Poised_Enhancer	141	4.84536082474227
Active_Enhancer-Poised_Enhancer	135	4.63917525773196
Active_Promoter-Active_Enhancer	127	4.36426116838488
Polycomb-Poised_Enhancer	125	4.29553264604811
Active_Promoter-Poised_Enhancer	117	4.02061855670103
Active_Promoter-Other	103	3.53951890034364
Active_Promoter-Active_Promoter	86	2.9553264604811
Active_Enhancer-Other	69	2.37113402061856
Repressed_Promoter-Poised_Enhancer	69	2.37113402061856
Repressed_Promoter-Repressed_Promoter	63	2.16494845360825
Active_Promoter-Polycomb	28	0.962199312714777
Bivalent_Promoter-Poised_Enhancer	24	0.824742268041237
Active_Promoter-Repressed_Promoter	23	0.790378006872852
Bivalent_Promoter-Other	23	0.790378006872852
Polycomb-Active_Enhancer	13	0.446735395189003
Bivalent_Promoter-Polycomb	12	0.412371134020619
Repressed_Promoter-Active_Enhancer	6	0.206185567010309
Bivalent_Promoter-Active_Enhancer	5	0.171821305841924
Repressed_Promoter-Bivalent_Promoter	4	0.13745704467354
Active_Promoter-Bivalent_Promoter	3	0.103092783505155
