loop_category	boundary_class	n	median_log2FC	mean_log2FC	sd_log2FC
P-E	gained	11	0.310154980318522	0.1185117065890022	1.5537354035580664
P-E	lost	59	-0.748615424886668	-0.949648088662749	0.7377343469707001
E-E	gained	15	-0.316769536530068	-0.04436548150335202	0.7952338000760226
E-E	lost	35	-0.800319858494477	-0.7551774327742795	0.6459327446249549
P-P	gained	10	-0.4132882872947685	-0.014370449056784591	1.0033696279628974
P-P	lost	29	-0.656205472344843	-0.28096387697777636	0.9831199321819222
Polycomb	gained	70	0.52518207548169	0.4568976556513344	1.0557426442009734
Polycomb	lost	14	0.026709146584288523	-0.05525984158999435	0.9593220613620812
Other	gained	121	0.585224876340324	0.3874307862404932	1.0546394593387087
Other	lost	93	-0.556140747134271	-0.4853822111982092	0.8876917395246187
