	ctrl_M1	ctrl_M2	ctrl_M3	mut_M1	mut_M2	mut_M3
loop_1	1077.82028579712	872.762454986572	877.910557746887	903.88910484314	963.936118125916	869.165613174438
loop_2	854.872568130493	592.642441749573	625.746984481812	647.384471893311	707.354923725128	679.175055027008
loop_3	1183.14227867126	894.034841537476	886.753637313843	946.537963867188	1108.41725921631	1037.76728439331
loop_4	940.246355056763	685.328748703003	723.012010574341	760.36873626709	801.657696723938	768.119441986084
loop_5	1078.94503211975	723.236395835876	725.95907497406	702.521557807922	768.183116912842	802.006620407104
loop_6	1622.57573318481	1253.22198295593	1142.71122741699	1312.92093086243	1480.16621780396	1372.38420677185
loop_7	681.874006271362	535.828656196594	559.418539047241	533.882446289062	558.899536132812	589.09447479248
loop_8	990.282851219177	643.00266456604	628.259113311768	628.055164337158	702.154593467712	728.082548141479
loop_9	819.755718231201	668.541139125824	683.195308685303	717.979775428772	803.261154174805	772.175428390503
loop_10	1309.01241111755	983.716609954834	1015.99646759033	1117.40894508362	1244.9084072113	1142.21433448792
loop_11	1176.01960945129	1045.4298248291	1006.25877952576	1082.71708106995	1132.09994792938	1059.65879249573
loop_12	845.133610725403	670.146598815918	669.55265045166	760.103317260742	967.852060317993	777.528018951416
loop_13	909.09881401062	612.097889900208	599.54358291626	610.179990768433	715.235343933105	662.806228637695
loop_14	675.604678153992	539.042426109314	537.014924049377	518.971232414246	537.080041885376	552.999302864075
loop_15	1280.27046775818	987.157445907593	998.475189208984	1052.03465461731	1303.47806930542	1095.7809753418
loop_16	734.06950378418	580.362672328949	593.101058006287	632.64451789856	642.254299163818	605.130537986755
loop_17	677.982105255127	483.980845451355	480.602623939514	484.988813400269	546.852999687195	556.851725578308
loop_18	1105.43845939636	803.025131225586	785.914459228516	876.795289993286	994.692907333374	823.034601211548
loop_19	638.702078819275	463.29065322876	496.848368644714	499.28298664093	589.878107070923	581.809407234192
loop_20	708.901240348816	462.415047168732	470.397961139679	473.44951581955	532.163825035095	564.740154266357
