	GO:0031644	GO:0014013	GO:0014015	GO:0060251	GO:0014009	GO:0098962	GO:0031589	GO:0051647	GO:0017145	GO:0051962	GO:0099601	GO:0055123	GO:0034446	GO:0042063	GO:0006836	GO:1900024	GO:2000630	GO:0043583	GO:0001956	GO:0015812	GO:0048709	GO:0007517	GO:0060252	GO:0001764	GO:0051590	GO:0021987	GO:0007097	GO:0048565	GO:0035116	GO:0021700	GO:0010810	GO:0050769	GO:0071695	GO:0090596	GO:0045664	GO:0045601	GO:1900026	GO:0060113	GO:2000628	GO:0048562	GO:0003002	GO:0060982	GO:0062042	GO:0045685	GO:1990709	GO:0042490
GO:0031644	0.999	0.427	0.411	0.18	0.185	0.857	0	0	0	0.461	0.079	0.193	0	0.214	0	0.08	0.08	0	0.075	0	0.193	0	0.38	0.199	0.076	0.191	0	0.192	0.172	0	0.089	0.453	0	0	0.201	0.389	0.078	0.189	0.082	0.208	0.218	0.158	0.159	0.187	0	0.19
GO:0014013	0.427	0.999	0.962	0.753	0.775	0.367	0.023	0	0.019	0.837	0.099	0.324	0.021	0.892	0	0.1	0.079	0.255	0.094	0	0.808	0.258	0.891	0.52	0.075	0.429	0.019	0.322	0.256	0.239	0.11	0.862	0.251	0.257	0.599	0.549	0.097	0.496	0.081	0.309	0.323	0.265	0.476	0.779	0.018	0.498
GO:0014015	0.411	0.962	0.999	0.728	0.747	0.355	0.022	0	0.018	0.882	0.096	0.312	0.02	0.856	0	0.096	0.215	0.245	0.23	0	0.778	0.247	0.928	0.501	0.205	0.413	0.018	0.31	0.247	0.23	0.106	0.9	0.241	0.247	0.576	0.53	0.239	0.478	0.078	0.296	0.31	0.257	0.462	0.752	0.017	0.48
GO:0060251	0.18	0.753	0.728	1	0.973	0.157	0.021	0	0.018	0.436	0.093	0.302	0.019	0.827	0	0.093	0.074	0.237	0.088	0	0.754	0.239	0.958	0.485	0.07	0.4	0.018	0.3	0.24	0.222	0.103	0.499	0.233	0.239	0.49	0.31	0.091	0.463	0.076	0.287	0.299	0.25	0.282	0.729	0.017	0.465
GO:0014009	0.185	0.775	0.747	0.973	0.999	0.16	0.022	0	0.018	0.449	0.019	0.311	0.02	0.852	0	0.019	0	0.244	0.018	0	0.775	0.246	0.932	0.498	0	0.411	0.018	0.309	0.246	0.229	0.021	0.514	0.24	0.246	0.504	0.318	0.019	0.476	0	0.295	0.308	0.256	0.289	0.749	0.017	0.478
GO:0098962	0.857	0.367	0.355	0.157	0.16	1	0.02	0	0.017	0.392	0.936	0.166	0.018	0.181	0	0.088	0.069	0	0.553	0	0.166	0	0.332	0.17	0.066	0.164	0.017	0.165	0.15	0	0.096	0.387	0	0	0.172	0.339	0.086	0.163	0.071	0.177	0.184	0.139	0.141	0.161	0.016	0.164
GO:0031589	0	0.023	0.022	0.021	0.022	0.02	0.997	0	0.021	0	0.021	0	0.881	0.026	0	0.845	0	0	0.02	0	0.023	0	0.02	0.024	0	0	0.02	0	0	0	0.946	0.025	0	0	0.024	0.021	0.824	0.022	0	0	0	0	0.019	0.022	0.019	0.023
GO:0051647	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.29	0	0	0	0.241	0.244	0	0	0	0	0.244	0	0.984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0017145	0	0.019	0.018	0.018	0.018	0.017	0.021	0	1	0	0.018	0	0.019	0.021	0	0.018	0	0	0.017	0	0.019	0	0.017	0.019	0	0	0.017	0	0	0	0.02	0.02	0	0	0.02	0.018	0.018	0.019	0	0	0	0	0.016	0.018	0.016	0.019
GO:0051962	0.461	0.837	0.882	0.436	0.449	0.392	0	0	0	0.997	0.084	0.349	0	0.523	0	0.084	0.24	0.276	0.224	0	0.47	0.28	0.812	0.483	0.226	0.462	0	0.347	0.274	0.26	0.094	0.979	0.272	0.279	0.548	0.588	0.233	0.459	0.087	0.335	0.352	0.282	0.429	0.506	0	0.461
GO:0099601	0.079	0.099	0.096	0.093	0.019	0.936	0.021	0	0.018	0.084	1	0	0.019	0.022	0	0.094	0.074	0	0.342	0	0.02	0	0.089	0.02	0.07	0	0.018	0	0	0	0.103	0.105	0	0	0.103	0.091	0.092	0.019	0.076	0	0	0	0.083	0.096	0.017	0.019
GO:0055123	0.193	0.324	0.312	0.302	0.311	0.166	0	0	0	0.349	0	0.999	0	0.358	0	0	0	0.255	0	0	0.324	0.258	0.289	0.333	0	0.319	0	0.992	0.256	0.239	0	0.344	0.251	0.257	0.337	0.262	0	0.317	0	0.309	0.323	0.265	0.268	0.312	0	0.318
GO:0034446	0	0.021	0.02	0.019	0.02	0.018	0.881	0	0.019	0	0.019	0	0.999	0.023	0	0.963	0	0	0.018	0	0.021	0	0.018	0.021	0	0	0.018	0	0	0	0.841	0.022	0	0	0.021	0.019	0.941	0.02	0	0	0	0	0.017	0.02	0.017	0.02
GO:0042063	0.214	0.892	0.856	0.827	0.852	0.181	0.026	0	0.021	0.523	0.022	0.358	0.023	0.996	0	0.022	0	0.283	0.02	0	0.892	0.287	0.787	0.576	0	0.473	0.021	0.355	0.279	0.266	0.024	0.597	0.278	0.286	0.584	0.361	0.021	0.546	0	0.344	0.361	0.287	0.324	0.858	0.019	0.549
GO:0006836	0	0	0	0	0	0	0	0.29	0	0	0	0	0	0	0.997	0	0	0	0.802	0.322	0	0	0	0	0.811	0	0.321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
