Cluster	category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
clust1	Human Diseases	Immune disease	mmu05322	Systemic lupus erythematosus	73/2882	85/4822	0.858823529411765	1.43693513491448	4.9532406475356	1.19855870597967e-07	4.03914283915148e-05	3.96155193344858e-05	H3c11/H2ac22/H2bc22/H2bc26/H2ac25/H3f4/C1s2/C1rb/H2az1/H4c14/H3c13/H2bc18/C1qb/C1qc/C1qa/H2-DMa/H4c6/H3c6/H2ac8/H2bc8/H2bc7/H2ac7/H2bc6/Actn1/H2-DMb2/Snrpd1/H3c4/H4c4/Elane/C8g/H3f3b/Actn4/H2-Oa/H2bc13/H2ac13/H3c10/H2ax/H2ac12/H4c9/H2ac11/H2bc11/H2bc12/C4a/C8a/C3/H2bc14/H4c8/H2ac10/H3c8/H2bc9/H3c7/Cd80/H4c16/H2aj/H3c14/H3c15/Grin2a/H3c3/H2bc3/H2ac4/H3c2/H4c1/H3c1/H4c2/Ssb/H2ac6/H2bc4/H4c3/Ro60/C1s1/C2/H3f3a/Snrpb	73
clust1	Organismal Systems	Immune system	mmu04613	Neutrophil extracellular trap formation	92/2882	115/4822	0.8	1.33851492019431	4.47784777092058	2.43563614487303e-06	0.000410404690411106	0.00040252092078428	Pik3r3/Clcn5/Hdac9/Slc25a4/H3c11/H2ac22/H2bc22/Raf1/Plcb1/H2bc26/H2ac25/H3f4/Hdac4/H2az1/H4c14/H3c13/H2bc18/Hdac6/H4c6/H3c6/H2ac8/H2bc8/H2bc7/H2ac7/H2bc6/Pik3cb/Ncf2/Plcb2/H3c4/H4c4/Elane/Prkcb/Akt3/Rela/H3f3b/Hdac5/Itgb3/Map2k2/H2bc13/H2ac13/H3c10/H2ax/Mapk14/Akt2/H2ac12/H4c9/H2ac11/H2bc11/H2bc12/Fgb/Clcn3/C3/H2bc14/H4c8/H2ac10/H3c8/H2bc9/H3c7/Vdac2/H4c16/H2aj/H3c14/H3c15/Hmgb1/Vdac3/Mtor/Prkcg/Hdac7/H3c3/H2bc3/H2ac4/H3c2/H4c1/H3c1/H4c2/Camp/Vdac1/Rac1/Ager/Fpr1/Fpr2/H2ac6/H2bc4/H4c3/Pik3ca/Mapk3/Map2k1/Hdac10/Ppif/Hdac3/H3f3a/Mapk1	92
clust1	Human Diseases	Substance dependence	mmu05034	Alcoholism	93/2882	124/4822	0.75	1.25485773768217	3.50402220010827	0.000229476719145771	0.0257778847840416	0.0252826981795691	Hdac9/Atf6b/Crh/Ntrk2/Atf4/Pkia/Calml4/H3c11/H2ac22/H2bc22/Gnao1/Raf1/H2bc26/H2ac25/H3f4/Hdac4/Slc18a1/Gnb1/H2az1/H4c14/H3c13/H2bc18/Gng3/Hdac6/Calm1/H4c6/H3c6/H2ac8/H2bc8/H2bc7/H2ac7/H2bc6/Calm2/Pdyn/H3c4/H4c4/Grb2/Gng10/Ppp1r1b/H3f3b/Hdac5/Creb5/Gnb2/H2bc13/H2ac13/H3c10/H2ax/Creb3l2/Gng5/H2ac12/H4c9/H2ac11/H2bc11/H2bc12/Sos1/H2bc14/H4c8/H2ac10/H3c8/H2bc9/H3c7/H4c16/H2aj/H3c14/H3c15/Hras/Braf/Creb3/Bdnf/Hdac7/Grin2a/H3c3/H2bc3/H2ac4/H3c2/H4c1/H3c1/H4c2/H2ac6/H2bc4/H4c3/Prkacb/Mapk3/Calm3/Adcy5/Map2k1/Hdac10/Gnai3/Gng2/Hdac3/H3f3a/Grin2c/Mapk1	93
clust1	Human Diseases	Cancer: overview	mmu05203	Viral carcinogenesis	104/2882	142/4822	0.732394366197183	1.22540098327648	3.32270466289987	0.00046841772125126	0.0394641930154186	0.0387060959139199	Pik3r3/Hdac9/Atf6b/H2-D1/Dnaja3/Gtf2a1/Atf4/Bad/Cdkn2b/Ccna2/Snw1/H2bc22/Gtf2a1l/H2-T3/Kat2b/Gtf2h2/Pxn/H2bc26/Hdac4/Casp8/H4c14/H2bc18/Cdk4/Hdac6/Egr2/H4c6/H2bc8/H2bc7/H2bc6/Pik3cb/Polb/Lyn/Actn1/Ccnd3/Bak1/H4c4/Chek1/Grb2/Rb1/Gtf2h4/Rhoa/Bax/Ccne2/Rela/Hdac5/Creb5/Gtf2h1/Actn4/Mad1l1/Traf3/H2bc13/Nfkb2/Jun/Ywhaz/Hpn/Creb3l2/H4c9/H2bc11/H2bc12/Rel/C3/Ikbkg/Ywhab/H2bc14/Nfkbia/H4c8/H2bc9/H2-M10.5/Gtf2e1/Ube3a/H4c16/Hras/Cdkn1b/Snd1/Vac14/Vdac3/Creb3/Tbpl1/Hdac7/Ranbp1/H2bc3/H4c1/H4c2/Ccr8/Rac1/Ywhah/H2bc4/H4c3/Il6st/Ywhaq/Ddb1/Pik3ca/Prkacb/Casp3/Mapk3/Hdac10/Jak1/Gtf2e2/H2-M5/Hdac3/Ddx3x/Crebbp/Cdkn1a/Mapk1	104
clust3	Human Diseases	Substance dependence	mmu05034	Alcoholism	73/1948	124/4822	0.588709677419355	1.45726800026495	4.24663374904995	2.00301915297017e-05	0.00673014435397976	0.00673014435397976	H4c11/H4c12/Hdac9/Atf6b/Pkia/Gnai1/H2bc26/H2ac25/H3f4/H3c11/H2ac22/H2bc22/Atf2/H2az1/Maoa/Creb1/Calm3/H4c6/H3c6/H2ac8/H2bc8/H2bc7/H2ac7/Gnb2/Gnao1/H2bc13/H2ac13/H3c10/H2bc14/Camkk1/H4c9/H2ac11/H2bc11/H4c8/H2ac10/H3c8/Grin2d/Mapk3/Sos1/Calm1/Nras/H2ac12/H2bc12/H2bc6/Gnb5/Slc18a1/H2bc9/H3c7/Grb2/H3c3/H2bc3/Sos2/Hras/Drd2/Gng5/H4c16/H2aj/H3c4/H4c4/Bdnf/Prkacb/Gnai3/H4c1/H3c1/H2ac4/H3c2/H4c2/Raf1/H4c14/Crh/Hdac2/Grin2c/Creb3l2	73
clust3	Human Diseases	Immune disease	mmu05322	Systemic lupus erythematosus	52/1948	85/4822	0.611764705882353	1.51433748037203	3.93845242410058	7.72016647763057e-05	0.0129698796824194	0.0129698796824194	H4c11/H4c12/H2bc26/H2ac25/H3f4/H3c11/H2ac22/H2bc22/H2az1/H4c6/H3c6/H2ac8/H2bc8/H2bc7/H2ac7/Ro60/H2bc13/H2ac13/H3c10/H2bc14/C1qb/C1qc/C1qa/Cd40/H4c9/H2ac11/H2bc11/H4c8/H2ac10/H3c8/C1rb/H2ac12/H2bc12/H2bc6/H2bc9/H3c7/H3c3/H2bc3/C8a/H4c16/H2aj/H3c4/H4c4/H4c1/H3c1/H2ac4/H3c2/H4c2/H4c14/Ssb/C1s2/Snrpb	52
clust4	Environmental Information Processing	Signaling molecules and interaction	mmu04080	Neuroactive ligand-receptor interaction	48/687	182/4822	0.263736263736264	1.85114448869907	4.77077761033251	8.51477549047413e-06	0.0026651247285184	0.00265302478440036	Pth2r/Gpr50/Chrna1/Chrm3/Thrb/Grik3/Pgrmc2/Grid1/Chrm5/Rxfp3/Adra2a/Ghrh/Gabrr3/Chrm2/Chrnb3/Penk/Gpr35/S1pr1/Gria4/Glra2/Kiss1/Vipr1/Mchr1/Ltb4r1/Adra2b/Adora2a/Hcrtr1/Gpr83/Mtnr1a/Grik4/Grin2b/Ogfr/Grik2/Pate2/Gabra2/Htr2a/Avpr1a/Oxtr/Prlh/Galr1/Gabrq/Drd1/Npy4r/Grm2/Sst/Htr6/Chrnd/Sstr2	48
clust6	Human Diseases	Immune disease	mmu05322	Systemic lupus erythematosus	30/481	85/4822	0.352941176470588	3.53821694998166	7.85837449431397	1.74472832973854e-10	5.51334152197378e-08	5.51334152197378e-08	H2bc13/H2ac13/H3c10/H3c11/H2ac22/H2bc22/H2ac12/H4c9/H2ac11/H2bc11/H2bc12/C1qa/H2bc6/H2bc14/H4c12/H2ac15/H2bc15/H2az1/H3c3/H2bc3/H2ac6/H2bc4/H4c3/H2ac4/H3c2/H4c1/H3c1/H4c2/H4c16/H2aj	30
clust6	Human Diseases	Substance dependence	mmu05034	Alcoholism	35/481	124/4822	0.282258064516129	2.82962242639662	6.87008360673811	5.27710584101087e-09	8.33782722879717e-07	8.33782722879717e-07	Gnai1/H2bc13/H2ac13/H3c10/H3c11/H2ac22/H2bc22/H2ac12/H4c9/H2ac11/H2bc11/H2bc12/Calm1/Pkia/Bdnf/Ntrk2/H2bc6/H2bc14/H4c12/H2ac15/H2bc15/H2az1/H3c3/H2bc3/H2ac6/H2bc4/H4c3/H2ac4/H3c2/H4c1/H3c1/H4c2/H4c16/H2aj/Slc18a1	35
clust6	Organismal Systems	Immune system	mmu04613	Neutrophil extracellular trap formation	30/481	115/4822	0.260869565217391	2.61520383259514	5.83512774817477	4.58762614375379e-07	4.83229953808732e-05	4.83229953808732e-05	H2bc13/H2ac13/H3c10/H3c11/H2ac22/H2bc22/H2ac12/H4c9/H2ac11/H2bc11/H2bc12/H2bc6/H2bc14/H4c12/H2ac15/H2bc15/H2az1/Clcn3/H3c3/H2bc3/H2ac6/H2bc4/H4c3/H2ac4/H3c2/H4c1/H3c1/H4c2/H4c16/H2aj	30
