Set_A	Set_B	Jaccard
early_WT	early_WT	1
early_KO	early_WT	0.992529963289374
late_WT	early_WT	0.456140696004564
late_KO	early_WT	0.479023441762646
early_WT	early_KO	0.992529963289374
early_KO	early_KO	1
late_WT	early_KO	0.456123963935619
late_KO	early_KO	0.480788705545958
early_WT	late_WT	0.456140696004564
early_KO	late_WT	0.456123963935619
late_WT	late_WT	1
late_KO	late_WT	0.826322790613578
early_WT	late_KO	0.479023441762646
early_KO	late_KO	0.480788705545958
late_WT	late_KO	0.826322790613578
late_KO	late_KO	1
