loop_id	direction	logFC	FDR	anchor1_type	anchor2_type	anchor1_dist_to_boundary	anchor2_dist_to_boundary	min_dist_to_boundary	nearest_boundary_type	nearest_boundary_enriched	nearest_boundary_gap_score	near_boundary_10kb	near_boundary_25kb	near_boundary_50kb	near_boundary_100kb
loop_32	up_in_mutant	0.507964758182221	0.0010800226715267	Active_Promoter	Other	0	34999	0	Shifted	Matrix 1	3.4442993777183823	TRUE	TRUE	TRUE	TRUE
loop_8162	down_in_mutant	-0.399584538766962	6.576630843075e-4	Active_Enhancer	Active_Promoter	54999	0	0	Strength Change	Matrix 1	3.5785167264711983	TRUE	TRUE	TRUE	TRUE
loop_1329	down_in_mutant	-0.385575955751452	1.86261900083425e-5	Active_Enhancer	Other	0	74999	0	Strength Change	Matrix 2	-3.509399765515128	TRUE	TRUE	TRUE	TRUE
loop_122	down_in_mutant	-0.309987134535429	0.0170995086700478	Poised_Enhancer	Active_Promoter	24999	0	0	Complex	Matrix 1	4.0906963413336594	TRUE	TRUE	TRUE	TRUE
loop_139	down_in_mutant	-0.530963634931943	0.0037576297724676	Poised_Enhancer	Other	154999	419999	154999	Merge	Matrix 2	-2.0664217503867652	FALSE	FALSE	FALSE	FALSE
loop_9622	down_in_mutant	-0.327231693131887	0.0017252091709439	Active_Promoter	Other	294999	474999	294999	Strength Change	Matrix 2	-2.3026716229719275	FALSE	FALSE	FALSE	FALSE
loop_216	down_in_mutant	-0.585277781779022	0.0205871830132063	Poised_Enhancer	Active_Enhancer	179999	109999	109999	Merge	Matrix 2	-2.416855417395399	FALSE	FALSE	FALSE	FALSE
loop_291	down_in_mutant	-0.309596343189563	4.684422489338e-4	Active_Enhancer	Active_Enhancer	19999	0	0	Strength Change	Matrix 1	3.179608690106335	TRUE	TRUE	TRUE	TRUE
loop_251	down_in_mutant	-0.438108404388366	0.0187774306217553	Active_Promoter	Active_Promoter	334999	69999	69999	Strength Change	Matrix 1	2.030151618672364	FALSE	FALSE	FALSE	TRUE
loop_10275	down_in_mutant	-0.431575816057458	0.0034116165698337	Other	Other	544999	494999	494999	Merge	Matrix 2	-2.516745924927651	FALSE	FALSE	FALSE	FALSE
loop_294	up_in_mutant	0.390539107725139	0.0116861621635594	Polycomb	Polycomb	79999	564999	79999	Split	Matrix 1	2.141479169461566	FALSE	FALSE	FALSE	TRUE
loop_10883	down_in_mutant	-0.315993423612167	0.0031180078591711	Active_Promoter	Poised_Enhancer	84999	44999	44999	Split	Matrix 1	2.5586225099561593	FALSE	FALSE	TRUE	TRUE
loop_318	down_in_mutant	-0.545875935910879	0.003581033848225	Active_Enhancer	Active_Enhancer	199999	29999	29999	Split	Matrix 1	2.1925984052851595	FALSE	FALSE	TRUE	TRUE
loop_323	up_in_mutant	0.323950110606268	0.0130009109326563	Active_Enhancer	Active_Promoter	49999	0	0	Shifted	Matrix 2	-2.0775767404811427	TRUE	TRUE	TRUE	TRUE
loop_1539	down_in_mutant	-0.824911416210738	3.02875082049036e-6	Poised_Enhancer	Active_Promoter	234999	24999	24999	Shifted	Matrix 1	3.21210756515027	FALSE	TRUE	TRUE	TRUE
loop_467	down_in_mutant	-0.389209429688525	5.68864062262666e-5	Active_Promoter	Active_Enhancer	0	134999	0	Split	Matrix 1	2.980971555860907	TRUE	TRUE	TRUE	TRUE
loop_413	down_in_mutant	-0.393885611332712	0.0099136550477718	Poised_Enhancer	Poised_Enhancer	209999	259999	209999	Complex	Matrix 1	2.641243597750834	FALSE	FALSE	FALSE	FALSE
loop_467	up_in_mutant	0.472685798771331	0.0034223313618301	Repressed_Promoter	Other	349999	484999	349999	Shifted	Matrix 1	4.482513993455282	FALSE	FALSE	FALSE	FALSE
loop_13236	down_in_mutant	-0.341616610525246	0.0112145055738813	Other	Other	184999	64999	64999	Strength Change	Matrix 2	-2.3354864176185295	FALSE	FALSE	FALSE	TRUE
loop_13365	down_in_mutant	-0.380561952610522	6.71156898012222e-5	Active_Enhancer	Active_Enhancer	14999	0	0	Shifted	Matrix 1	4.923576019626304	TRUE	TRUE	TRUE	TRUE
loop_564	down_in_mutant	-0.608304515067549	0.0056090876456255	Active_Enhancer	Active_Enhancer	304999	489999	304999	Merge	Matrix 2	-2.47203571827624	FALSE	FALSE	FALSE	FALSE
loop_570	down_in_mutant	-0.507246378783241	0.0124541925204314	Other	Repressed_Promoter	124999	389999	124999	Merge	Matrix 2	-2.382196420531643	FALSE	FALSE	FALSE	FALSE
loop_749	down_in_mutant	-0.394578570668128	0.0015326090365922	Active_Enhancer	Active_Enhancer	764999	974999	764999	Complex	Matrix 1	2.05181618194244	FALSE	FALSE	FALSE	FALSE
loop_15040	down_in_mutant	-0.43863070613811	3.14224082486974e-5	Active_Promoter	Active_Enhancer	0	4999	0	Strength Change	Matrix 1	2.6339215423245332	TRUE	TRUE	TRUE	TRUE
loop_720	down_in_mutant	-0.483819620901568	0.0230187873892694	Bivalent_Promoter	Poised_Enhancer	364999	154999	154999	Strength Change	Matrix 1	3.126772711116455	FALSE	FALSE	FALSE	FALSE
loop_17841	down_in_mutant	-0.348629608286288	9.143091278898e-4	Other	Repressed_Promoter	564999	24999	24999	Complex	Matrix 2	-2.2761432505659447	FALSE	TRUE	TRUE	TRUE
loop_727	up_in_mutant	0.648903030552877	0.0256698622010734	Poised_Enhancer	Poised_Enhancer	24999	29999	24999	Merge	Matrix 2	-2.2833143705352024	FALSE	TRUE	TRUE	TRUE
loop_753	down_in_mutant	-0.407900527865251	0.0160789924202226	Active_Enhancer	Active_Enhancer	269999	54999	54999	Strength Change	Matrix 1	3.2428649730478183	FALSE	FALSE	FALSE	TRUE
loop_15943	up_in_mutant	0.353299532641351	3.84580681911e-4	Other	Poised_Enhancer	154999	64999	64999	Shifted	Matrix 2	-2.524503287825172	FALSE	FALSE	FALSE	TRUE
loop_827	down_in_mutant	-0.460344990434603	0.012276662330146	Active_Promoter	Active_Enhancer	174999	9999	9999	Complex	Matrix 2	-2.460394976841131	TRUE	TRUE	TRUE	TRUE
loop_867	down_in_mutant	-0.316726841379132	0.0253141522163369	Active_Promoter	Poised_Enhancer	804999	739999	739999	Strength Change	Matrix 2	-2.944475812854456	FALSE	FALSE	FALSE	FALSE
loop_869	down_in_mutant	-0.31590110989778	0.0266033656551999	Active_Enhancer	Active_Enhancer	139999	219999	139999	Complex	Matrix 1	2.332684883672389	FALSE	FALSE	FALSE	FALSE
loop_882	down_in_mutant	-0.433706220302438	0.0269721261047592	Active_Enhancer	Poised_Enhancer	809999	659999	659999	Strength Change	Matrix 2	-2.944475812854456	FALSE	FALSE	FALSE	FALSE
loop_17266	down_in_mutant	-0.600053079545689	6.548165469775e-4	Other	Poised_Enhancer	264999	464999	264999	Split	Matrix 1	6.411782545881877	FALSE	FALSE	FALSE	FALSE
loop_1107	down_in_mutant	-0.62207260584874	3.614764220882e-4	Other	Poised_Enhancer	124999	254999	124999	Merge	Matrix 2	-4.310345872260645	FALSE	FALSE	FALSE	FALSE
loop_15541	down_in_mutant	-0.452097905259116	2.589436056028e-4	Active_Enhancer	Active_Promoter	0	214999	0	Complex	Matrix 1	2.54799264835729	TRUE	TRUE	TRUE	TRUE
loop_936	down_in_mutant	-0.310295150617931	0.0088678910504422	Active_Enhancer	Poised_Enhancer	1684999	1624999	1624999	Shifted	Matrix 2	-2.3697484972906344	FALSE	FALSE	FALSE	FALSE
loop_971	down_in_mutant	-0.404672533324142	0.0206478738780949	Active_Promoter	Active_Enhancer	124999	344999	124999	Strength Change	Matrix 2	-4.206700506369612	FALSE	FALSE	FALSE	FALSE
