chromatin_state	overlap_col	n_total	n_lost	n_gained	lost_overlap	lost_pct	gained_overlap	gained_pct	odds_ratio	ci_lower	ci_upper	p_value	fdr	significant
Active_Promoter	K119ub_up_either	432	295	137	154	52.2033898305085	37	27.007299270073	2.94450738287842	1.86232056957926	4.72496934599948	8.56884570861451e-07	2.39927679841206e-06	TRUE
Active_Promoter	K119ub_down_either	432	295	137	2	0.677966101694915	4	2.91970802919708	0.227829116709786	0.0203761695590779	1.61189513061372	0.0834386314169907	0.146017604979734	FALSE
Repressed_Promoter	K119ub_up_either	496	129	367	13	10.077519379845	35	9.53678474114441	1.06292595886569	0.498043168594117	2.14587241241483	0.863268273275889	1	FALSE
Repressed_Promoter	K119ub_down_either	496	129	367	45	34.8837209302326	50	13.6239782016349	3.38648096666592	2.06139401804649	5.56749616912211	4.83530400602529e-07	2.15538009815307e-06	TRUE
Bivalent_Promoter	K119ub_up_either	49	16	33	5	31.25	12	36.3636363636364	0.799136652018326	0.174116594462511	3.29345438786186	1	1	FALSE
Bivalent_Promoter	K119ub_down_either	49	16	33	1	6.25	2	6.06060606060606	1.03260721889998	0.0164388217668667	21.3401387189157	1	1	FALSE
Polycomb	K119ub_up_either	753	125	628	21	16.8	80	12.7388535031847	1.38252884778073	0.776132934771561	2.37948233774104	0.249540742779759	0.349357039891663	FALSE
Polycomb	K119ub_down_either	753	125	628	27	21.6	54	8.59872611464968	2.92317661059734	1.68496764193853	4.98731343085114	9.63315534502514e-05	0.000224773624717253	TRUE
Active_Enhancer	K119ub_up_either	521	432	89	318	73.6111111111111	33	37.0786516853933	4.71753116135335	2.85239089281808	7.9050277829896	1.29504496544624e-10	1.81306295162474e-09	TRUE
Active_Enhancer	K119ub_down_either	521	432	89	2	0.462962962962963	2	2.24719101123596	0.20323798682464	0.0145284275448419	2.83873903220313	0.137099054665318	0.21326519614605	FALSE
Poised_Enhancer	K119ub_up_either	1024	439	585	149	33.9407744874715	117	20	2.05370175517542	1.5332794400705	2.75580753123189	6.1582288518659e-07	2.15538009815307e-06	TRUE
Poised_Enhancer	K119ub_down_either	1024	439	585	7	1.59453302961276	27	4.61538461538461	0.335199575587928	0.122048370257228	0.798553632070398	0.0077174328109773	0.0154348656219546	TRUE
Other	K119ub_up_either	1447	463	984	84	18.1425485961123	68	6.91056910569106	2.98282454043764	2.09163592250408	4.26719825808623	3.66895285837967e-10	2.56826700086577e-09	TRUE
Other	K119ub_down_either	1447	463	984	10	2.15982721382289	26	2.64227642276423	0.813511988343393	0.346970019743187	1.76166833550111	0.718068098924359	0.913904853176456	FALSE
