FASTQ Prefix,Short Name,Organism,CUTANA Spike in,CUTANA Spike in Target,E.coli Spike in,Cell Type,Cell Number,Sample Prep,Experimental Condition,Antibody Vendor,Antibody Cat No,Antibody Lot No,CUTANA Spike in 2,CUTANA Spike in Target 2
230301_IgG_old_PUM1_L001,IgG,Mouse,KMetStat,Unmodified,Yes,,,,,,,,,
230301_index_25_ctrl_1_old_PUM1_H3K4me3_L001,K4me3_ctrl1,Mouse,KMetStat,H3K4me3,Yes,,,,,,,,,
230301_index_26_mut_1_old_PUM1_H3K4me3_L001,K4me3_mut1,Mouse,KMetStat,H3K4me3,Yes,,,,,,,,,
230301_index_27_ctrl_2_old_PUM1_H3K4me3_L001,K4me3_ctrl2,Mouse,KMetStat,H3K4me3,Yes,,,,,,,,,
230301_index_28_mut_2_old_PUM1_H3K4me3_L001,K4me3_mut2,Mouse,KMetStat,H3K4me3,Yes,,,,,,,,,
230301_index_29_ctrl_1_old_PUM1_H3K27ac_L001,K27ac_ctrl1,Mouse,None,,Yes,,,,,,,,,
230301_index_30_mut_1_old_PUM1_H3K27ac_L001,K27ac_mut1,Mouse,None,,Yes,,,,,,,,,
230301_index_31_ctrl_2_old_PUM1_H3K27ac_L001,K27ac_ctrl2,Mouse,None,,Yes,,,,,,,,,
230301_index_32_mut_2_old_PUM1_H3K27ac_L001,K27ac_mut2,Mouse,None,,Yes,,,,,,,,,
230301_index_33_ctrl_1_old_PUM1_H3K9ac_L001,K9ac_ctrl1,Mouse,None,,Yes,,,,,,,,,
230301_index_34_mut_1_old_PUM1_H3K9ac_L001,K9ac_mut1,Mouse,None,,Yes,,,,,,,,,
230301_index_35_ctrl_2_old_PUM1_H3K9ac_L001,K9ac_ctrl2,Mouse,None,,Yes,,,,,,,,,
230301_index_36_mut_2_old_PUM1_H3K9ac_L001,K9ac_mut2,Mouse,None,,Yes,,,,,,,,,
230301_index_37_ctrl_1_old_PUM1_H3K27me3_L001,K27me3_ctrl1,Mouse,KMetStat,H3K27me3,Yes,,,,,,,,,
230301_index_38_mut_1_old_PUM1_H3K27me3_L001,K27me3_mut1,Mouse,KMetStat,H3K27me3,Yes,,,,,,,,,
230301_index_39_ctrl_2_old_PUM1_H3K27me3_L001,K27me3_ctrl2,Mouse,KMetStat,H3K27me3,Yes,,,,,,,,,
230301_index_40_mut_2_old_PUM1_H3K27me3_L001,K27me3_mut2,Mouse,KMetStat,H3K27me3,Yes,,,,,,,,,
