gene	mc_diff	hmc_diff	combined_effect	quadrant	log2FC	padj	baseMean	net_atac	n_atac_up	n_atac_down	k119ub_gb_log2fc	k119ub_pr_log2fc	k119ub_gb_class	n_k27ac_gained	n_k27ac_lost	k27ac_status	chromatin_state	n_mecp2_up	n_mecp2_down	mecp2_status	loop_involved
Kazald1	-0.24313058966175	-0.134254559517359	0.377385149179109	Q1: mC dn/hmC dn	-2.3985197452726	5.97752460743972e-09	15.027907608223	0	0	0	0.902368	0.742819	quantifiable	1	1	Both	Active_Promoter	0	0	No MeCP2	FALSE
Socs3	-0.158348002112304	-0.134600296728443	0.292948298840747	Q1: mC dn/hmC dn	-0.236061513268327	0.892661808921514	3.15078132751206	0	0	0	-0.182617	-0.228845	quantifiable	0	0	No Change	Repressed_Promoter	0	0	No MeCP2	FALSE
Mab21l2	-0.259915342115165	-0.0317399587562323	0.291655300871397	Q1: mC dn/hmC dn	NA	NA	NA	0	0	0	0.052419	0.161476	quantifiable	0	0	No Change	Bivalent_Promoter	0	0	No MeCP2	TRUE
Insm1	-0.191649149081318	-0.0858085146342013	0.277457663715519	Q1: mC dn/hmC dn	NA	NA	NA	0	0	0	0.08534	0.006504	quantifiable	0	0	No Change	Repressed_Promoter	0	1	MeCP2 Down Only	FALSE
Gdf1	-0.175345206461757	-0.0747079671882218	0.250053173649978	Q1: mC dn/hmC dn	NA	NA	NA	0	0	0	-0.358367	-0.188911	quantifiable	0	0	No Change	Other	0	0	No MeCP2	FALSE
Islr2	-0.190948649478111	-0.0395757642088775	0.230524413686989	Q1: mC dn/hmC dn	0.527009341615375	0.558574914101332	6.27015251033827	1	1	0	-0.181756	-0.1226	quantifiable	0	0	No Change	Repressed_Promoter	0	0	No MeCP2	FALSE
Hic1	-0.144847448413849	-0.0775461853777726	0.222393633791621	Q1: mC dn/hmC dn	-0.102515975099892	0.943367421613706	8.03817502782641	-3	0	3	-0.205283	-0.146518	quantifiable	0	2	Lost Only	Repressed_Promoter	0	1	MeCP2 Down Only	FALSE
Sost	-0.149158471337405	-0.0642320426930944	0.2133905140305	Q1: mC dn/hmC dn	-1.69073527284858	0.141260735586862	2.58052060462507	0	0	0	-0.116557	-0.134245	quantifiable	0	0	No Change	Repressed_Promoter	0	0	No MeCP2	FALSE
Rgs16	-0.150503571333307	-0.0516638674833749	0.202167438816682	Q1: mC dn/hmC dn	1.72214295176702	5.13126551939707e-15	45.4824813587703	1	1	0	-0.138502	0.098801	quantifiable	1	0	Gained Only	Active_Promoter	0	1	MeCP2 Down Only	TRUE
Lyl1	-0.134337838349676	-0.0650729292141502	0.199410767563826	Q1: mC dn/hmC dn	NA	NA	NA	4	4	0	-0.06048	-0.165769	quantifiable	3	0	Gained Only	Other	0	0	No MeCP2	FALSE
Npb	-0.107232014860647	-0.0864131323959274	0.193645147256574	Q1: mC dn/hmC dn	-0.500287082308081	0.776830663606771	2.20128564085213	0	0	0	-0.255408	-0.468661	quantifiable	0	0	No Change	Other	0	0	No MeCP2	FALSE
Kiss1r	-0.106421963964608	-0.0761642276718507	0.182586191636458	Q1: mC dn/hmC dn	-1.57485763538124	2.75597707413813e-05	14.8858419132738	-1	0	1	0.688707	0.687385	quantifiable	0	0	No Change	Other	0	0	No MeCP2	FALSE
Barhl1	-0.139292878605296	-0.0358203169163476	0.175113195521643	Q1: mC dn/hmC dn	0.745925633516415	4.8785361200918e-08	146.771420101699	7	7	0	-0.113356	-0.195763	quantifiable	2	0	Gained Only	Bivalent_Promoter	0	0	No MeCP2	FALSE
