SYMBOL	n_peaks	n_up	n_down	n_ns	mean_fold	min_fdr	gene_peak_class
0610005C13Rik	1	0	0	1	-0.0439293106334469	0.857069796822907	No significant peaks
0610009E02Rik	1	0	0	1	0.0625297305487823	0.718323739193334	No significant peaks
0610010K14Rik	1	0	0	1	-0.0621722089484397	0.709662783968489	No significant peaks
0610030E20Rik	1	0	0	1	-0.0141215367354712	0.96379982405148	No significant peaks
0610031O16Rik	1	0	0	1	-0.0313968034924416	0.900847453378857	No significant peaks
0610038B21Rik	29	0	0	29	-0.0415555906678734	0.337347422581527	No significant peaks
0610040F04Rik	19	3	0	16	0.228613035022732	5.94608625894612e-05	Has UP peak(s)
0610040J01Rik	10	0	0	10	-0.0645418047485198	0.238283044725283	No significant peaks
0610043K17Rik	2	0	0	2	-0.0330307276849372	0.929206594628335	No significant peaks
1110002E22Rik	12	3	0	9	0.443907721925222	3.69627194837329e-06	Has UP peak(s)
1110002J07Rik	52	8	0	44	0.413942216265066	1.15106064159683e-19	Has UP peak(s)
1110002L01Rik	1	0	0	1	-0.204144218438176	0.374250835320007	No significant peaks
1110004F10Rik	3	0	0	3	-0.0149758446953308	0.764870349639255	No significant peaks
1110006O24Rik	1	0	0	1	-0.083581621096933	0.682329283863686	No significant peaks
1110015O18Rik	3	1	0	2	0.372341613052913	0.0265589637453089	Has UP peak(s)
1110019D14Rik	11	5	0	6	0.885988549808572	9.84767159910241e-07	Has UP peak(s)
1110020A21Rik	1	0	0	1	-0.0321101589774997	0.839358651188656	No significant peaks
1110028F11Rik	2	0	0	2	-0.0049118405115553	0.928270117439043	No significant peaks
1110028F18Rik	3	0	0	3	-0.00691985724515019	0.96665595600429	No significant peaks
1110032F04Rik	11	0	0	11	-0.113841366898595	0.089444426828231	No significant peaks
1110038F14Rik	3	0	0	3	-0.048410133798928	0.522206404676139	No significant peaks
1110046J04Rik	2	0	0	2	-0.00953945093972769	0.927334023921821	No significant peaks
1110059E24Rik	10	0	0	10	-0.01851319558693	0.522333769822805	No significant peaks
1110059G10Rik	1	0	0	1	0.0334654608418612	0.887240652372053	No significant peaks
1110065P20Rik	4	0	0	4	-0.150281151602193	0.158454718683046	No significant peaks
1190005I06Rik	15	0	0	15	-0.0277265905073004	0.326965681182046	No significant peaks
1190028D05Rik	13	1	0	12	0.464419071521708	7.17222751241121e-05	Has UP peak(s)
1300002E11Rik	2	0	0	2	-0.0440461524975298	0.851874264163725	No significant peaks
1500009L16Rik	28	0	0	28	-0.00886752648760333	0.255390596878506	No significant peaks
1500011B03Rik	4	0	0	4	-0.0792264485498785	0.946167273845792	No significant peaks
1500012K07Rik	1	0	0	1	0.176591677700521	0.437291170568145	No significant peaks
1500015A07Rik	8	0	0	8	-0.122243615219884	0.0588856411816973	No significant peaks
1500015L24Rik	8	2	0	6	0.453054322822001	0.00032775953900788	Has UP peak(s)
1500026H17Rik	1	0	0	1	0.034952121456466	0.886030117723985	No significant peaks
1600002D24Rik	38	0	0	38	-0.00654942357927878	0.0903632712331809	No significant peaks
1600010M07Rik	3	0	0	3	0.0095946924112684	0.811590809880685	No significant peaks
1600012P17Rik	4	0	0	4	-0.0414958677123983	0.532168930345972	No significant peaks
1600014C10Rik	12	0	0	12	-0.0343592135190875	0.607856274681402	No significant peaks
1600014C23Rik	4	0	0	4	-0.00912370123554538	0.612523548324728	No significant peaks
1600019K03Rik	4	0	0	4	-0.0465444074880844	0.657807407884921	No significant peaks
1600020E01Rik	3	0	0	3	-0.023376186718595	0.757683363075459	No significant peaks
1600025M17Rik	2	0	0	2	0.0816279962352735	1	No significant peaks
1600027J07Rik	25	0	0	25	-0.0113645306463238	0.50731112107352	No significant peaks
1600029I14Rik	11	0	0	11	-0.000389723663164214	0.312495622705239	No significant peaks
1700001D01Rik	6	0	0	6	-0.0131384552786737	0.633059774304376	No significant peaks
1700001G11Rik	4	0	0	4	0.00402468002471003	0.770617113201742	No significant peaks
1700001G17Rik	1	0	0	1	0.083854357376564	1	No significant peaks
1700001J03Rik	9	0	0	9	0.0100644858410311	0.661594831626871	No significant peaks
1700001J11Rik	3	0	0	3	-0.264649090301913	0.136663250201173	No significant peaks
1700001K19Rik	1	0	0	1	-0.000619518738729567	0.998390770982109	No significant peaks
1700001K23Rik	11	0	0	11	-0.0748609538125613	0.119565108393723	No significant peaks
1700001L05Rik	4	0	0	4	-0.0083807456315232	0.866781831955715	No significant peaks
1700001O22Rik	13	0	0	13	0.00280625302401647	0.367282216525938	No significant peaks
1700003C15Rik	1	0	0	1	-0.0147835463643749	1	No significant peaks
1700003F12Rik	1	0	0	1	0.087072367694919	0.650000529453903	No significant peaks
1700003G18Rik	2	0	0	2	-0.0249695658346907	0.925667111375523	No significant peaks
1700003H04Rik	2	0	0	2	0.0395204709514577	0.976074741947406	No significant peaks
1700003I22Rik	10	0	0	10	-0.0138198173907825	0.363900085288787	No significant peaks
1700003L19Rik	26	0	0	26	-0.0218595053309442	0.124412087045811	No significant peaks
1700003M07Rik	9	0	0	9	0.00127333737322644	0.624197572067659	No significant peaks
1700003P14Rik	1	0	0	1	0.0471824982055425	1	No significant peaks
