gene	mc_diff	hmc_diff	combined_effect	quadrant	log2FC	padj	baseMean	net_atac	n_atac_up	n_atac_down	k119ub_gb_log2fc	k119ub_pr_log2fc	k119ub_gb_class	n_k27ac_gained	n_k27ac_lost	k27ac_status	chromatin_state	n_mecp2_up	n_mecp2_down	mecp2_status	loop_involved
Kazald1	-0.215022873812323	-0.122428177916814	0.337451051729137	Q1: mC dn/hmC dn	-2.3985197452726	5.97752460743972e-09	15.027907608223	0	0	0	0.902368	0.742819	quantifiable	1	1	Both	Active_Promoter	0	0	No MeCP2	FALSE
Insm1	-0.199891936132699	-0.0754551423017625	0.275347078434462	Q1: mC dn/hmC dn	NA	NA	NA	0	0	0	0.08534	0.006504	quantifiable	0	0	No Change	Repressed_Promoter	0	1	MeCP2 Down Only	FALSE
Kcne1l	-0.163799347509172	-0.0824021213272274	0.246201468836399	Q1: mC dn/hmC dn	NA	NA	NA	0	0	0	NA	NA	NA	0	0	No Change	Repressed_Promoter	0	0	No MeCP2	FALSE
Mab21l2	-0.222719321169747	-0.0228662442722276	0.245585565441975	Q1: mC dn/hmC dn	NA	NA	NA	0	0	0	0.052419	0.161476	quantifiable	0	0	No Change	Bivalent_Promoter	0	0	No MeCP2	TRUE
Hic1	-0.164678632983813	-0.0705759426383827	0.235254575622196	Q1: mC dn/hmC dn	-0.102515975099892	0.943367421613706	8.03817502782641	-3	0	3	-0.205283	-0.146518	quantifiable	0	2	Lost Only	Repressed_Promoter	0	1	MeCP2 Down Only	FALSE
Islr2	-0.186214807772497	-0.0338714548481402	0.220086262620637	Q1: mC dn/hmC dn	0.527009341615375	0.558574914101332	6.27015251033827	1	1	0	-0.181756	-0.1226	quantifiable	0	0	No Change	Repressed_Promoter	0	0	No MeCP2	FALSE
Lyl1	-0.137890314275822	-0.0605956481126477	0.19848596238847	Q1: mC dn/hmC dn	NA	NA	NA	4	4	0	-0.06048	-0.165769	quantifiable	3	0	Gained Only	Other	0	0	No MeCP2	FALSE
Sost	-0.141829698043974	-0.0493849649030896	0.191214662947063	Q1: mC dn/hmC dn	-1.69073527284858	0.141260735586862	2.58052060462507	0	0	0	-0.116557	-0.134245	quantifiable	0	0	No Change	Repressed_Promoter	0	0	No MeCP2	FALSE
Rgs16	-0.15624418814595	-0.0312988073308679	0.187542995476817	Q1: mC dn/hmC dn	1.72214295176702	5.13126551939707e-15	45.4824813587703	1	1	0	-0.138502	0.098801	quantifiable	1	0	Gained Only	Active_Promoter	0	1	MeCP2 Down Only	TRUE
Scarf2	-0.135809908893487	-0.0453355203585801	0.181145429252068	Q1: mC dn/hmC dn	-0.955790190879954	0.000890775494161877	27.1247871383415	0	0	0	-0.012564	-0.16954	quantifiable	0	0	No Change	Repressed_Promoter	0	0	No MeCP2	FALSE
