metric	value
N matched genes	20851
BAP1-KO median delta	-0.008474
TET-KO median delta	-0.259673
Absolute attenuation (BAP1/TET)	0.0326
BAP1-KO median relative delta	-0.087174
TET-KO median relative delta	-1.000000
Relative attenuation (BAP1/TET)	0.0872
BAP1-KO Cliff's delta	-0.4299
TET-KO Cliff's delta	-0.6798
BAP1-KO % decreased	71.4
TET-KO % decreased	70.5
BAP1-KO relative % decreased	71.4
TET-KO relative % decreased	70.5
BAP1-KO Cohen's d	-0.7123
TET-KO Cohen's d	-1.8238
KS statistic	0.6741
KS p-value	p < 2.2e-16
Per-gene Spearman rho (absolute)	0.2198
Per-gene Spearman p (absolute)	p < 2.2e-16
Per-gene Spearman rho (relative)	-0.0119
Per-gene Spearman p (relative)	p = 8.51e-02
QQ slope (attenuation)	0.0933
Relative QQ slope	0.3479
TET-KO % complete loss (relative=-1)	68.5
TET-KO % no WT signal (relative~0)	27.0
TET-KO % partial loss	4.5
BAP1-KO % strong loss (rel < -0.5)	0.8
BAP1-KO % moderate loss (-0.5 to -0.1)	45.1
BAP1-KO % weak/no change (rel >= -0.1)	54.1
Residualized Spearman rho	0.0975
Residualized Spearman p	p < 2.2e-16
R2 baseline only	0.8328
R2 full model	0.8337
Delta-R2 gene-specific	0.0008
Baseline % of explained variance	99.9
Spearman rho (partial-loss genes)	0.1258
Spearman p (partial-loss genes)	p = 1.23e-04
