gene	mecp2_mean_fold	mecp2_nearest_fdr	gb_log2fc	mc_diff	hmc_diff	chromatin_state
Micu3	3.31112958006904	1.88407080705142e-13	0.120164	0.0449532342746497	-0.0550125822707343	Active_Promoter
Fam81b	2.37808782728544	7.95490509831512e-08	1.195046	0.0241074300160535	-0.0057434442878339	Other
Ccnh	2.13892274837034	0.968249637839634	0.324707	0.0511897620636866	-0.0560183303081369	Active_Promoter
A330070K13Rik	2.1111518023123	4.27997166975257e-07	0.700541	0.185823966874757	-0.0553867696751865	Other
Dipk2b	1.91160372912691	1	1.117091	0.0212267029913329	0.000309151013962256	Other
Ccer1	1.82949415639821	0.803697084783656	0.016369	0.0158305845059249	0.000524328491761282	Other
Gabra6	1.70120045428988	0.92409361780521	0.21863	0.032768096939856	0.00818630207998969	Active_Promoter
Stxbp5l	1.70047180545944	0.777285423184326	0.0404	0.0777801233022845	-0.0696676917199734	Active_Promoter
Cdh7	1.67120067853063	0.888412331553261	0.834522	0.0834532311516325	-0.0612860635696749	Active_Promoter
Emcn	1.64488470222434	0.00127278147483562	1.318834	0.0409062188478198	-0.0107068254862215	Other
Gprin3	1.58364888919615	2.58751492272059e-06	1.034552	0.103938977086807	-0.0528729723410623	Active_Promoter
Ercc8	1.53033270651918	1.31243965393824e-20	1.045569	0.0596715221255155	-0.0274777191779346	Active_Promoter
Xk	1.51301884978285	0.942842310389632	0.352249	0.118002013647643	-0.0884200245197536	Other
Fut9	1.50132009407714	1.32719443445416e-07	0.379227	0.0621375397246068	-0.0437461811101068	Active_Promoter
Slc13a1	1.45671691499625	0.0101304954413751	1.514766	0.0616311388579086	-0.0206977442746837	Other
Etv1	1.41539089015384	0.961784379896975	0.179998	0.059363922077227	-0.000370840225457414	Active_Promoter
Kbtbd12	1.40625935861403	7.14716517223626e-10	0.738787	0.0302195470514123	-0.0017087677880325	Other
1700017N19Rik	1.33021867919909	0.302554853007196	1.086064	0.0133544142840057	0.00186165199824236	Other
Dcstamp	1.29760467851028	0.810374267434789	1.057831	0.0773906435763028	-0.00792044539666442	Other
Zbbx	1.28756366723998	0.53970103728158	0.861749	0.0133066266798442	0.00681718747389343	Other
Kera	1.26893466570397	1.76132417372413e-08	1.259103	0.0306906758251526	-0.00575794547788411	Other
Mllt10	1.25359561873867	0.424867318641914	0.293901	0.0380502624204948	-0.0316967683901415	Active_Promoter
Manea	1.23407511707579	0.993715772222266	0.959664	0.0914587725000703	-0.060520272741778	Active_Promoter
Cog5	1.22778484939048	1.20839010330663e-07	1.268975	0.0707680919978579	-0.0257557532476129	Active_Promoter
Lamb3	1.20362536001525	0.0124350868072545	0.873238	0.0329149367253684	0.00307196307652133	Other
Ppp1r14bl	1.18157025924438	0.929861467498308	1.06581	0.0448913665023666	-0.0126929170316812	Other
Plscr5	1.17447304707988	1	0.738111	0.0215646843563808	0.00570475067207291	Other
Fam72a	1.13054204512484	0.985394376485737	1.095478	0.0339497017375572	0.0191724207240666	Active_Promoter
Elp4	1.11783743973853	0.942729568960427	0.820274	0.0598435402472728	-0.0253474078756436	Active_Promoter
Cerkl	1.115286949067	0.000283321465302971	0.983307	0.0541282022520972	-0.00337166250677112	Active_Promoter
Capsl	1.10842906050508	1	0.976178	-0.0149512297008538	0.0215168447613873	Other
Col9a1	1.10811035267613	2.01034498623133e-14	1.308703	0.0504223284797926	-0.00487324977815357	Other
Otc	1.07802806763773	0.104649748613924	0.650755	0.0215441245048396	-0.00240355683081393	Other
Wdr3	1.06754566721218	0.917154094459134	0.154935	0.0337546528354759	-0.0263352314019778	Active_Promoter
Tlr4	1.06138964722367	0.502788277849274	0.501716	0.0131424906616157	-0.00502086562635008	Other
Zfp930	1.05867010563551	0.889965512622977	0.653725	0.0130812438307721	-0.0249359572273408	Active_Promoter
Cntn6	1.05746297748356	1.88438635926685e-08	0.481129	0.0601156302345282	-0.05549487333954	Active_Promoter
