group	mark	n	mean	median	ttest_t	ttest_p	wilcox_V	wilcox_p	ttest_q	wilcox_q	mw_updown_W	mw_updown_p	mw_updown_q	mw_downns_W	mw_downns_p	mw_downns_q	mw_upns_W	mw_upns_p	mw_upns_q
MeCP2 Up	k119ub_bw	78	0.629811487179487	0.558314	12.3560491393157	5.89474018769253e-20	3023	1.56545451287662e-13	1.76842205630776e-19	4.69636353862985e-13	2485	3.61322155221213e-12	5.4198323283182e-12	351043	0.495295993976213	0.495295993976213	1451025	6.04305010368907e-29	1.81291503110672e-28
MeCP2 Down	k119ub_bw	35	-0.0391226571428571	-0.070839	-1.00888210946334	0.32015754250222	233	0.181909027870558	0.32015754250222	0.181909027870558	2485	3.61322155221213e-12	5.4198323283182e-12	351043	0.495295993976213	0.495295993976213	1451025	6.04305010368907e-29	1.81291503110672e-28
Not Significant	k119ub_bw	21491	0.00802851491321943	-0.020193	3.38160523581812	0.000721920122441228	112760824.5	0.00288283792840051	0.00108288018366184	0.00432425689260076	2485	3.61322155221213e-12	5.4198323283182e-12	351043	0.495295993976213	0.495295993976213	1451025	6.04305010368907e-29	1.81291503110672e-28
MeCP2 Up	k119ub_db	66	0.739298188659307	0.743712496287556	11.8681023259777	6.34482753325261e-18	2170	1.06880556294444e-11	9.51724129987892e-18	1.60320834441666e-11	1898	1.82962951672172e-10	2.74444427508258e-10	97632	0.00434763756515469	0.00434763756515469	459697	5.12283305821432e-18	1.5368499174643e-17
MeCP2 Down	k119ub_db	32	-0.0645402032059933	-0.134273262662484	-1.00003848700535	0.325034404030224	172	0.0870897910104392	0.325034404030224	0.0870897910104392	1898	1.82962951672172e-10	2.74444427508258e-10	97632	0.00434763756515469	0.00434763756515469	459697	5.12283305821432e-18	1.5368499174643e-17
Not Significant	k119ub_db	8614	0.144678995350722	0.091922736506965	29.4117267037799	2.85777104147836e-181	24203367	2.2309545439653e-132	8.57331312443509e-181	6.69286363189589e-132	1898	1.82962951672172e-10	2.74444427508258e-10	97632	0.00434763756515469	0.00434763756515469	459697	5.12283305821432e-18	1.5368499174643e-17
MeCP2 Up	mc	78	0.0490726454787297	0.0402837405185012	9.47453344289555	1.46507385124634e-14	2986	6.14673790066732e-13	2.19761077686951e-14	9.22010685100098e-13	2485	3.61322155221213e-12	5.4198323283182e-12	133761	2.63720513549578e-09	2.63720513549578e-09	1127008	6.27684378308809e-19	1.88305313492643e-18
MeCP2 Down	mc	35	-0.0277564049859223	-0.0212117878080669	-2.94272310770468	0.00582428489533999	108	0.000718834234679719	0.00582428489533999	0.000718834234679719	2485	3.61322155221213e-12	5.4198323283182e-12	133761	2.63720513549578e-09	2.63720513549578e-09	1127008	6.27684378308809e-19	1.88305313492643e-18
Not Significant	mc	18264	0.00942257013594994	0.00544950582583409	44.5832722320826	0	113705795	0	0	0	2485	3.61322155221213e-12	5.4198323283182e-12	133761	2.63720513549578e-09	2.63720513549578e-09	1127008	6.27684378308809e-19	1.88305313492643e-18
MeCP2 Up	hmc	78	-0.0174720839675809	-0.012017481489855	-6.59809807983213	4.7449189474794e-09	413	1.98494956144628e-08	7.11737842121909e-09	2.97742434216941e-08	844	0.00122907030605281	0.00314485127890386	415667	0.00209656751926924	0.00314485127890386	589954	0.00874908654592326	0.00874908654592326
MeCP2 Down	hmc	35	-0.00342152655791713	0.00142395316738572	-0.841464536915956	0.405967394193683	302	0.83777582379774	0.405967394193683	0.83777582379774	844	0.00122907030605281	0.00314485127890386	415667	0.00209656751926924	0.00314485127890386	589954	0.00874908654592326	0.00874908654592326
Not Significant	hmc	18264	-0.010541492421389	-0.00839295644805921	-83.2763137083322	0	29675638.5	0	0	0	844	0.00122907030605281	0.00314485127890386	415667	0.00209656751926924	0.00314485127890386	589954	0.00874908654592326	0.00874908654592326
MeCP2 Up	k27ac	61	-0.718107956841679	-0.583872925417853	-8.69287758534813	3.25513992527481e-12	90	8.18626481262927e-10	9.76541977582444e-12	1.22793972189439e-09	72	9.91901517030237e-09	1.48785227554536e-08	120993	0.000106072124817227	0.000106072124817227	91819	4.94553442526125e-18	1.48366032757838e-17
MeCP2 Down	k27ac	19	0.481399859258225	0.411934055324236	4.27898069437891	0.000451666757197559	174	0.00158305366592553	0.000677500135796339	0.00158305366592553	72	9.91901517030237e-09	1.48785227554536e-08	120993	0.000106072124817227	0.000106072124817227	91819	4.94553442526125e-18	1.48366032757838e-17
Not Significant	k27ac	8412	-0.0168410172354721	0.0434084999089249	-3.31626393359532	0.000916161963615654	19570137	3.46932810959554e-17	0.000916161963615654	1.04079843287866e-16	72	9.91901517030237e-09	1.48785227554536e-08	120993	0.000106072124817227	0.000106072124817227	91819	4.94553442526125e-18	1.48366032757838e-17
MeCP2 Up	k27me3	17	1.11010592766635	1.13402961158799	3.58907369230813	0.00245523871086725	127	0.0179375199219851	0.00368285806630088	0.0179375199219851	348	0.000541461650231293	0.00105161116602921	37355	0.0166055682432994	0.0166055682432994	51877	0.000701074110686137	0.00105161116602921
MeCP2 Down	k27me3	25	-0.336603706182587	-0.290358070767003	-2.80164472863073	0.00989131924290216	72	0.0154514110631426	0.00989131924290216	0.0179375199219851	348	0.000541461650231293	0.00105161116602921	37355	0.0166055682432994	0.0166055682432994	51877	0.000701074110686137	0.00105161116602921
Not Significant	k27me3	4136	0.0333391062583902	-0.0778723017990209	3.18874110872481	0.00143960296726187	3616497	7.37608860559296e-18	0.00368285806630088	2.21282658167789e-17	348	0.000541461650231293	0.00105161116602921	37355	0.0166055682432994	0.0166055682432994	51877	0.000701074110686137	0.00105161116602921
