gene	mc_significant	mc_hyper	coordinated	mecp2_bound	mecp2_sig_change	mecp2_sig_up
0610009B22Rik	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
0610010F05Rik	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
0610010K14Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
0610012G03Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
0610040J01Rik	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE
1110002E22Rik	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
1110004F10Rik	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE
1110008P14Rik	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
1110012L19Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1110017D15Rik	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
1110025L11Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1110032A03Rik	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
1110032F04Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
1110038F14Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
1110051M20Rik	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
1110057P08Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1110059E24Rik	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
1110059G10Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
1110065P20Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
1190005I06Rik	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE
1190007I07Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1300017J02Rik	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
1500009C09Rik	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
1500009L16Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
1500011B03Rik	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
1520401A03Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1600012H06Rik	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
1600014C10Rik	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
1600014C23Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
1700001C19Rik	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
1700001F09Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700001J03Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
1700001K19Rik	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
1700001L19Rik	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
1700001O22Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
1700001P01Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700003E16Rik	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
1700003F12Rik	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
1700003H04Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
1700006A11Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
1700007K13Rik	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
1700008O03Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
1700008P02Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
1700009N14Rik	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
1700010B08Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
1700010I14Rik	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
1700011L22Rik	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE
1700011M02Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700012A03Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
1700012B07Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
1700012B09Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
1700012P22Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700013F07Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700013G24Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
1700013H16Rik	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE
1700014D04Rik	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
1700015F17Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700015G11Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700016C15Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700016D06Rik	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
1700016H13Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
