gene	mc_diff	hmc_diff	combined_effect	quadrant	log2FC	padj	baseMean	expr_tier1	expr_tier2
Fzd7	0.270317569866899	0.231618151705014	0.501935721571913	Q3: mC up/hmC up	-1.44574478475887	7.70518302045153e-22	387.156777240723	Down	Down
Kazald1	-0.215022873812323	-0.122428177916814	0.337451051729137	Q1: mC dn/hmC dn	-2.3985197452726	5.97752460743972e-09	15.027907608223	Down	Down
Tmem238	0.202948019567946	-0.124535661232602	0.327483680800548	Q4: mC up/hmC dn	-1.45204983462174	3.36199476810544e-20	95.8540315497483	Down	Down
Syt1	0.173138279538543	-0.149653303443115	0.322791582981658	Q4: mC up/hmC dn	-2.49328754389298	1.55842202855686e-31	12572.0851295268	Down	Down
Insm1	-0.199891936132699	-0.0754551423017625	0.275347078434462	Q1: mC dn/hmC dn	NA	NA	NA	No RNA-seq Data	No RNA-seq Data
Gclm	0.163626383332672	-0.109341876534835	0.272968259867507	Q4: mC up/hmC dn	-0.898506528946469	1.75183672031165e-08	93.1391950228459	Down	Down
Sap30	0.211953324709116	-0.0544488852139743	0.26640220992309	Q4: mC up/hmC dn	-1.17706095884768	2.99759341770332e-07	48.1289188198199	Down	Down
Prxl2b	0.215503293571978	-0.0451903607472336	0.260693654319211	Q4: mC up/hmC dn	-0.288889511918725	0.501812775573784	89.6361418824047	Not Significant	Not DEG
Ly6g6e	0.158691721848252	-0.101885663311484	0.260577385159735	Q4: mC up/hmC dn	-1.69767504550593	0.0727274305827271	2.84047919943591	Not Significant	Not DEG
Gpr68	0.162567747047773	-0.0871033833156893	0.249671130363462	Q4: mC up/hmC dn	-1.6814230290199	1.27342394085571e-27	73.0802269104043	Down	Down
Gm5136	0.125990638009662	-0.123099470685328	0.249090108694989	Q4: mC up/hmC dn	NA	NA	NA	No RNA-seq Data	No RNA-seq Data
Kcne1l	-0.163799347509172	-0.0824021213272274	0.246201468836399	Q1: mC dn/hmC dn	NA	NA	NA	No RNA-seq Data	No RNA-seq Data
Mab21l2	-0.222719321169747	-0.0228662442722276	0.245585565441975	Q1: mC dn/hmC dn	NA	NA	NA	No RNA-seq Data	No RNA-seq Data
Bhlhe40	0.216559777294325	-0.0248506543949298	0.241410431689255	Q4: mC up/hmC dn	-0.394873766185338	0.00651215882456989	282.018023460559	Down	Down
A330070K13Rik	0.185823966874757	-0.0553867696751865	0.241210736549944	Q4: mC up/hmC dn	NA	NA	NA	No RNA-seq Data	No RNA-seq Data
Ripply2	0.186290557972284	-0.0540996569016488	0.240390214873933	Q4: mC up/hmC dn	-0.515280172253911	0.0353455033060152	60.3548572558079	Down	Down
Galnt7	0.162788287901922	-0.0745554585017827	0.237343746403705	Q4: mC up/hmC dn	-0.695548471791694	4.34971693359345e-10	2949.83559718671	Down	Down
Mcu	0.142137210855473	-0.0944174928500678	0.236554703705541	Q4: mC up/hmC dn	-1.1716618354851	5.28488559627757e-30	2083.99819711649	Down	Down
Enkd1	0.191927179565295	0.0433510832614834	0.235278262826778	Q3: mC up/hmC up	-0.346534712879315	0.293428792631135	31.9027098304673	Not Significant	Not DEG
Hic1	-0.164678632983813	-0.0705759426383827	0.235254575622196	Q1: mC dn/hmC dn	-0.102515975099892	0.943367421613706	8.03817502782641	Not Significant	Not DEG
4930451I11Rik	-0.143022198013416	0.0836112931657017	0.226633491179118	Q2: mC dn/hmC up	1.55629080270233	0.0867620062632431	3.34335154751505	Not Significant	Not DEG
Islr2	-0.186214807772497	-0.0338714548481402	0.220086262620637	Q1: mC dn/hmC dn	0.527009341615375	0.558574914101332	6.27015251033827	Not Significant	Not DEG
Tmem64	0.153634974562263	-0.0662312353228351	0.219866209885098	Q4: mC up/hmC dn	-0.3285895849122	0.00246079727311188	358.732130899923	Down	Down
Tssk5	0.137817160825713	-0.0797306589340282	0.217547819759741	Q4: mC up/hmC dn	-1.07876934536942	3.69210124762547e-05	25.7837999763012	Down	Down
Amigo1	0.135919939262634	-0.0793056006820435	0.215225539944678	Q4: mC up/hmC dn	-0.225764363118834	0.12564732562404	392.753100930101	Not Significant	Not DEG
Mcam	0.132332402499776	-0.0813840331948875	0.213716435694663	Q4: mC up/hmC dn	-1.39506226714039	1.89603484855968e-20	86.8417558004364	Down	Down
Spry2	0.169619652521318	0.0392053725932666	0.208825025114585	Q3: mC up/hmC up	-0.818839901476966	4.15900102289719e-12	144.716642787948	Down	Down
Lrrn1	0.137802817859855	-0.0693689510246577	0.207171768884512	Q4: mC up/hmC dn	-0.937618339685514	4.53999666432961e-33	1642.73061190642	Down	Down
