comparison	Z	p_raw	p_adj	modification
Exon - Intron	-3.864	5.57e-05	0.000418	mC
SpliceSite_Donor - Intron	-3.898	4.84e-05	0.000726	mC
SpliceSite_Acceptor - Intron	-3.424	0.000309	0.00155	mC
5UTR - Intron	-1.126	0.13	0.279	mC
Exon - 3UTR	-1.284	0.0996	0.299	mC
SpliceSite_Acceptor - 3UTR	-1.168	0.121	0.304	mC
SpliceSite_Donor - 3UTR	-1.355	0.0878	0.329	mC
5UTR - 3UTR	-0.768	0.221	0.415	mC
5UTR - Exon	0.132	0.448	0.48	mC
5UTR - SpliceSite_Acceptor	0.037	0.485	0.485	mC
Intron - 3UTR	0.159	0.437	0.504	mC
Exon - SpliceSite_Donor	0.199	0.421	0.526	mC
SpliceSite_Donor - SpliceSite_Acceptor	-0.454	0.325	0.541	mC
5UTR - SpliceSite_Donor	0.2	0.421	0.574	mC
Exon - SpliceSite_Acceptor	-0.273	0.392	0.588	mC
SpliceSite_Donor - Intron	3.603	0.000157	0.00059	hmC
Exon - Intron	3.668	0.000122	0.000612	hmC
SpliceSite_Acceptor - Intron	3.759	8.54e-05	0.00064	hmC
5UTR - Intron	3.845	6.04e-05	0.000906	hmC
5UTR - 3UTR	3.151	0.000813	0.00244	hmC
5UTR - SpliceSite_Donor	2.598	0.00469	0.01	hmC
5UTR - SpliceSite_Acceptor	2.549	0.0054	0.0101	hmC
5UTR - Exon	2.644	0.0041	0.0103	hmC
Exon - 3UTR	1.608	0.0539	0.0735	hmC
SpliceSite_Acceptor - 3UTR	1.693	0.0453	0.0755	hmC
SpliceSite_Donor - 3UTR	1.635	0.051	0.0765	hmC
Exon - SpliceSite_Donor	-0.094	0.463	0.463	hmC
Exon - SpliceSite_Acceptor	-0.238	0.406	0.468	hmC
SpliceSite_Donor - SpliceSite_Acceptor	-0.138	0.445	0.477	hmC
Intron - 3UTR	0.24	0.405	0.506	hmC
