peak_class	chromatin_state	n	pct
CG-Concordant	Active_Promoter	52	1.04838709677419
CG-Concordant	Repressed_Promoter	14	0.282258064516129
CG-Concordant	Bivalent_Promoter	4	0.0806451612903226
CG-Concordant	Polycomb	44	0.887096774193548
CG-Concordant	Active_Enhancer	732	14.758064516129
CG-Concordant	Poised_Enhancer	1038	20.9274193548387
CG-Concordant	Unmarked	3076	62.0161290322581
Non-CG Candidate	Active_Promoter	9	0.33015407190022
Non-CG Candidate	Repressed_Promoter	15	0.550256786500367
Non-CG Candidate	Bivalent_Promoter	1	0.0366837857666911
Non-CG Candidate	Polycomb	73	2.67791636096845
Non-CG Candidate	Active_Enhancer	161	5.90608950843727
Non-CG Candidate	Poised_Enhancer	362	13.2795304475422
Non-CG Candidate	Unmarked	2105	77.2193690388848
