term	estimate	std_error	t_value	p_value
(Intercept)	-0.0321378445849988	0.00562006920643331	-5.71840726591241	1.13424096530469e-08
loop_dir_binaryLost	-0.0176238107603041	0.00103579724637236	-17.0147302689088	3.00126308147221e-63
log_loop_distance	0.00193618312852137	0.000880805497956582	2.19819600696544	0.0279783222880449
anchor_typeRepressed_Promoter	0.0301820437146738	0.00164524806839979	18.3449804891913	6.35909763811312e-73
anchor_typeBivalent_Promoter	0.0267869756882885	0.00456194467457242	5.8718326501404	4.5727532639927e-09
anchor_typePolycomb	0.0263188901432944	0.00186407659068263	14.1189961157424	1.84728218424348e-44
anchor_typeActive_Enhancer	-0.00247531114260483	0.00237962460107494	-1.04021077168503	0.298289545302327
anchor_typePoised_Enhancer	0.0147020280474173	0.00174612758359634	8.41979027508223	4.80479291656106e-17
anchor_typeOther	0.0180187218841282	0.00150479718779645	11.9741863091291	1.27735332670862e-32
log_dist_tss	0.000594103574485574	0.00083672533208694	0.710034167369805	0.477714257490507
