perspective	mark	quadrant	observed	expected	oe_ratio	fisher_or	fisher_p	p_label	short_quadrant
5mC	MeCP2	mC Down + MeCP2 Up	942	905	1.04	0.919761854553204	0.0815615216037337	p=0.082	MeCP2 Up
5mC	MeCP2	mC Up + MeCP2 Down	4810	4773	1.01	0.919761854553204	0.0815615216037337	p=0.082	MeCP2 Down
5hmC	MeCP2	hmC Up + MeCP2 Up	627	549.9	1.14	0.789618108434776	1.94877968760124e-05	p=1.9e-05	MeCP2 Up
5hmC	MeCP2	hmC Down + MeCP2 Down	6094	6016.9	1.01	0.789618108434776	1.94877968760124e-05	p=1.9e-05	MeCP2 Down
5mC	ATAC	mC Down + ATAC Up	1122	800.2	1.4	0.0947085568155894	8.09707386417321e-151	p=8.1e-151	ATAC Up
5mC	ATAC	mC Up + ATAC Down	938	616.2	1.52	0.0947085568155894	8.09707386417321e-151	p=8.1e-151	ATAC Down
5hmC	ATAC	hmC Up + ATAC Up	892	631.3	1.41	0.0951232772838604	8.7698608545993e-117	p=8.8e-117	ATAC Up
5hmC	ATAC	hmC Down + ATAC Down	961	700.3	1.37	0.0951232772838604	8.7698608545993e-117	p=8.8e-117	ATAC Down
5mC	K119ub	mC Up + K119ub Gained	1359	1044	1.3	6.00781248155152	2.1074827773232e-120	p=2.1e-120	K119ub Gained
5mC	K119ub	mC Down + K119ub Lost	889	574	1.55	6.00781248155152	2.1074827773232e-120	p=2.1e-120	K119ub Lost
5hmC	K119ub	hmC Down + K119ub Gained	1404	1251.7	1.12	2.79680329309531	1.88473105813729e-35	p=1.9e-35	K119ub Gained
5hmC	K119ub	hmC Up + K119ub Lost	520	367.7	1.41	2.79680329309531	1.88473105813729e-35	p=1.9e-35	K119ub Lost
5mC	H3K27ac	mC Down + H3K27ac Gained	335	250.8	1.34	0.254045956054605	1.97481552116311e-24	p=2.0e-24	H3K27ac Gained
5mC	H3K27ac	mC Up + H3K27ac Lost	869	784.8	1.11	0.254045956054605	1.97481552116311e-24	p=2.0e-24	H3K27ac Lost
5hmC	H3K27ac	hmC Up + H3K27ac Gained	196	166.1	1.18	0.512758752323589	1.51739935190022e-05	p=1.5e-05	H3K27ac Gained
5hmC	H3K27ac	hmC Down + H3K27ac Lost	835	805.1	1.04	0.512758752323589	1.51739935190022e-05	p=1.5e-05	H3K27ac Lost
