gene	mc_diff	hmc_diff	mc_q	hmc_q	combined_effect	n_atac_up	n_atac_down	net_atac
Syt1	0.178584373930707	-0.153276499189403	1.7288823880601e-305	2.91748902985141e-305	0.33186087312011	0	10	-10
Tmem238	0.203201852386588	-0.11103730431399	2.5130820258608e-41	2.86762174872958e-16	0.314239156700577	0	0	0
Prxl2b	0.195075269179349	-0.0932155307936366	4.11066901237338e-17	2.5274091455253e-05	0.288290799972986	0	1	-1
Sap30	0.223648245148977	-0.063366750647805	1.05517746248828e-24	2.86267897350776e-05	0.287014995796782	0	0	0
Ripply2	0.199727139654202	-0.080176015972623	5.53152240093366e-21	0.000109501088388827	0.279903155626825	1	0	1
Gm5136	0.14109663734673	-0.137362718743877	1.45757323496398e-23	2.21553586496453e-24	0.278459356090607	0	0	0
Gclm	0.16255577172913	-0.114220509656659	3.25468582541853e-115	1.99555212460926e-81	0.276776281385789	0	5	-5
Gpr68	0.168075530503912	-0.0984248222065737	2.09388467134079e-98	2.23112937967176e-44	0.266500352710485	0	4	-4
Ly6g6e	0.14209118419368	-0.112893556412571	0.000329878176657234	0.00155969202262409	0.254984740606251	0	1	-1
Mcu	0.146649914603345	-0.0983705284978336	1.7288823880601e-305	2.91748902985141e-305	0.245020443101178	0	6	-6
Galnt7	0.165189019491331	-0.0735406827673085	1.7288823880601e-305	1.34526210632182e-173	0.23872970225864	0	5	-5
A330070K13Rik	0.170229582077092	-0.0623864242371175	5.42877506770584e-14	0.004873756610225	0.232616006314209	4	3	1
Hgh1	0.130968011716207	-0.0924069069042959	4.67407699825468e-10	2.95732556832514e-09	0.223374918620503	0	0	0
Ccndbp1	0.138328879836213	-0.0774443707080653	1.18249103955372e-28	4.70304096768688e-13	0.215773250544278	0	0	0
Rps6ka5	0.120552612369526	-0.0898473920719225	1.7288823880601e-305	4.67843038599328e-274	0.210400004441448	0	5	-5
Xk	0.11651619530088	-0.0932110842175962	7.26212262996581e-43	1.18318904561614e-45	0.209727279518476	0	0	0
Flrt3	0.163200566148247	-0.044089958274745	9.32766743499782e-106	1.50039860805198e-13	0.207290524422992	0	3	-3
Arhgap26	0.136144010156958	-0.0694695486334877	1.7288823880601e-305	2.91748902985141e-305	0.205613558790446	0	0	0
Tmem64	0.146237986435619	-0.0589013873693476	6.86959724755514e-58	3.02082739470101e-12	0.205139373804966	0	2	-2
Tmem86b	0.1440177432778	-0.0608603809161486	2.58737263561359e-06	0.0264765422596931	0.204878124193948	0	0	0
Lgi1	0.136184942866115	-0.0685733133059078	7.85727641701361e-130	1.58842818472018e-51	0.204758256172023	0	2	-2
Hmgcl	0.136989998577356	-0.0674081220495527	3.43495802365747e-49	2.03830312558468e-18	0.204398120626909	0	3	-3
Tssk5	0.133888150765865	-0.0703439259491517	2.49706253708681e-10	0.000238263751695174	0.204232076715017	0	1	-1
Plekhf1	0.17047720907988	-0.0325665077496295	1.23929784650388e-44	0.00331707685728435	0.20304371682951	0	4	-4
Inka2	0.162312595902658	-0.0400494518723439	7.96628628311835e-37	0.00196692962508856	0.202362047775002	0	1	-1
Sptssb	0.113419921004378	-0.0874251512434813	1.45123999219822e-68	1.59560695509072e-59	0.200845072247859	0	5	-5
Lrrn1	0.13145642040864	-0.0688823649498744	1.38355668166473e-95	7.98550387622969e-31	0.200338785358515	0	4	-4
Igip	0.0838850137351688	-0.115990280568506	0.00103833987637366	1.71019876707513e-06	0.199875294303675	0	0	0
Lpcat3	0.130677141118563	-0.0690902263103078	2.33395847128304e-137	2.09018038742513e-48	0.199767367428871	0	3	-3
Inpp5j	0.148962556416995	-0.0505044717015101	1.92043846487795e-20	0.000355726554098524	0.199467028118505	0	2	-2
Zfp608	0.1310912606693	-0.0673846444594366	1.7288823880601e-305	2.68309616534289e-114	0.198475905128737	1	1	0
Bricd5	0.0904147025931164	-0.10763965141778	0.0304134933763422	0.000725484051583041	0.198054354010897	0	1	-1
Max	0.142506958389267	-0.0554369400278229	2.37617120799054e-74	5.13521301169695e-14	0.19794389841709	0	2	-2
Mcam	0.124830611569741	-0.0730715680889091	9.5490402608185e-15	6.96562004818991e-08	0.19790217965865	0	1	-1
Gm17190	0.0951989441571886	-0.10194284634211	0.000425316358949826	2.02270731766461e-07	0.197141790499299	0	0	0
Syn2	0.132637877283831	-0.0644215000312036	2.7710151678877e-267	1.39349521159794e-77	0.197059377315035	0	0	0
Des	0.132093603823426	-0.0639564780026137	2.75618491713556e-26	1.65549122701816e-10	0.19605008182604	0	0	0
Chka	0.132498274317738	-0.0625848815726836	4.17071247001952e-102	3.48312566668507e-28	0.195083155890422	0	2	-2
Cd83	0.121893935915091	-0.0730267731848737	2.87843134260294e-44	1.20564734811509e-20	0.194920709099964	0	2	-2
Ccsap	0.119937840673216	-0.0742201505743099	6.65434440535947e-55	2.26018444217482e-26	0.194157991247526	0	2	-2
Abtb1	0.131785625827115	-0.0621130200816293	6.13074037156495e-10	0.00155659868329377	0.193898645908744	0	3	-3
E2f3	0.105295197378657	-0.0882870726020884	5.21620127099414e-252	1.87437553789058e-234	0.193582269980746	0	6	-6
