gene	is_coordinated	is_mecp2_up	mc_diff	hmc_diff	delta_ratio	mecp2_mean_fold	atac_fold	k27me3_fold	k119ub_fold
2510002D24Rik	TRUE	FALSE	0.0551856192942703	-0.0372051623276317	-0.0472831529202387	-0.0324312528202491	0.0655465156342349	NA	NA
Aak1	TRUE	FALSE	0.0280341912282743	-0.0205126755774176	-0.0282358721678799	-0.0347119182397496	0.104265961662343	NA	0.189012407795701
Aatk	FALSE	FALSE	0.0150700868737042	-0.00951739545195152	-0.0202237841330581	-0.036157623440076	0.354943448827359	NA	0.046413258506412
Abca2	TRUE	FALSE	0.0632284652788657	-0.0317642650982527	-0.0482357994597348	-0.0643541911367746	0.00105305337542726	NA	0.313160337090623
Abcd2	TRUE	FALSE	0.0301312883864405	-0.0186482688616161	-0.0269054397712948	-0.0140996033259341	0.0558386535612563	NA	0.413317726169423
Abhd17a	TRUE	FALSE	0.0294928944539837	-0.0331604138860288	-0.0380790144013025	-0.0419020221101706	0.110410717655756	NA	NA
Abhd17b	FALSE	FALSE	0.042825186744016	-0.0211829184376948	-0.0435143900000279	NA	0.161910700606665	NA	NA
Abhd17c	TRUE	FALSE	0.0275851165755724	-0.0289470643451546	-0.033623720985892	-0.0230727872715064	0.0947717660420802	NA	-0.244779014247883
Abhd6	TRUE	FALSE	0.0225641762570992	-0.0204019771116447	-0.0255285345041661	-0.0405620425872316	0.213663419854414	NA	0.522456041391549
Abi1	TRUE	FALSE	0.01024085656746	-0.0140775193071575	-0.0151284412143921	-0.0111428463830666	0.0752795382215145	NA	NA
Abi2	TRUE	FALSE	0.0384073177805857	-0.0347813116019067	-0.0394643690297677	-0.0082665709138516	0.103315222501174	NA	NA
Abl2	TRUE	FALSE	0.0472510114058325	-0.0394588966767051	-0.0482066403345044	-0.0341010469012404	0.0549803089036996	NA	NA
Ablim1	TRUE	FALSE	0.0404946176428516	-0.0102759593939867	-0.0351084550351622	-0.0764746065462086	0.285889154220359	NA	0.187824860133495
Abt1	TRUE	FALSE	0.0512286341366803	-0.0414000476393288	-0.04974369667404	-0.032890089130226	0.236602069275478	NA	0.317177979519726
Acap3	TRUE	FALSE	0.0428744587580019	-0.0231942179820796	-0.0353838409910466	-0.164946604427262	0.0532529023544038	NA	NA
Acer3	TRUE	FALSE	0.0311627840874189	-0.0171240440098999	-0.0217868362302499	-0.0398049250304833	0.125150497557082	NA	0.341355659555822
Ache	TRUE	FALSE	0.0438507503015351	-0.0216383454470758	-0.0484833888398339	-0.0895282438733362	-0.184924887611114	NA	0.368490334820348
Acsl6	TRUE	FALSE	0.0121010934550199	-0.0237646084325675	-0.0266948065030447	-0.0465571155933148	0.347744363216196	NA	0.351872981480179
Actl6b	TRUE	FALSE	0.0212632431027674	-0.0363396630384587	-0.0431269327637489	0.00065357787335745	-0.0250717076715425	NA	NA
Actr10	TRUE	FALSE	0.0369843397312453	-0.0344039888335345	-0.0383313567570357	-0.0674568804155175	0.0503049461842934	NA	0.342490095868733
Actr2	TRUE	FALSE	0.0388707512036146	-0.0317747385277311	-0.0384653454553998	-0.00360592791639984	0.0825671436573142	NA	0.439319529757091
