gene	hmc_diff_pct	hmc_direction	hmc_ctrl_mean	hmc_mut_mean
Syt1	-14.97	Hypomethylated	0.266369660814793	0.116716357371678
Mcu	-9.44	Hypomethylated	0.298872063344874	0.204454570494806
Rps6ka5	-8.64	Hypomethylated	0.234639475529986	0.148241721534948
E2f3	-8.63	Hypomethylated	0.220843782759482	0.134537554658933
Tmtc2	-7.76	Hypomethylated	0.261939331083261	0.184341366081584
Epha3	-7.63	Hypomethylated	0.20935454660066	0.13303592265408
Itgb5	-7.5	Hypomethylated	0.244140305861346	0.169096125655542
Galnt7	-7.46	Hypomethylated	0.346949365161512	0.27239390665973
Unc5c	-7.22	Hypomethylated	0.315376093979702	0.243194734237361
Caln1	-6.97	Hypomethylated	0.314926586640232	0.245191145183157
Angpt1	-6.89	Hypomethylated	0.144386465182808	0.075463537522536
Patj	-6.88	Hypomethylated	0.195169686656128	0.126331614695665
Ptchd4	-6.83	Hypomethylated	0.214641054688347	0.14632341599365
Cdh8	-6.8	Hypomethylated	0.238802157508182	0.170753138786381
Rit2	-6.77	Hypomethylated	0.1750612792351	0.107338372850427
Arhgap26	-6.65	Hypomethylated	0.256825161189283	0.190285422520988
Cdyl2	-6.64	Hypomethylated	0.235331886513332	0.168972557342118
Bmp5	-6.59	Hypomethylated	0.157501699410306	0.0916014640378273
Tmeff2	-6.32	Hypomethylated	0.223229429666836	0.160037651879966
Trhde	-6.2	Hypomethylated	0.212369781767739	0.150418804748424
Myt1l	-5.99	Hypomethylated	0.219741497033232	0.159854695629989
Pld5	-5.92	Hypomethylated	0.266413456428901	0.207175715304096
Tmem132c	-5.77	Hypomethylated	0.200768216584863	0.143053257440962
Lpp	-5.76	Hypomethylated	0.235496166920149	0.177912728054206
Zbtb20	-5.64	Hypomethylated	0.215434871853896	0.159038884654026
Cntn6	-5.55	Hypomethylated	0.183290688473874	0.127795815134334
Ldlrad3	-5.45	Hypomethylated	0.265884510740538	0.211406105102106
Ppm1l	-5.33	Hypomethylated	0.283943143137576	0.230637302816793
Svep1	-5.29	Hypomethylated	0.166481750710971	0.113561815148359
Trpm3	-5.09	Hypomethylated	0.238193475869877	0.187259026741469
Rims2	-5.03	Hypomethylated	0.26413097387893	0.213834922884236
Ncald	-4.79	Hypomethylated	0.23749344151428	0.189561210265307
Maml3	-4.6	Hypomethylated	0.265350667370871	0.219374773475484
Arid5b	-4.54	Hypomethylated	0.163131756703517	0.117685622523835
Zfp385b	-4.45	Hypomethylated	0.307337185747959	0.262861864123254
Kcnab1	-4.39	Hypomethylated	0.179191936830803	0.135262703793756
Dlgap1	-4.36	Hypomethylated	0.262419249744333	0.218785035268783
Mctp1	-4.26	Hypomethylated	0.184149677405271	0.141590941910741
Cadm1	-4.16	Hypomethylated	0.254510117534081	0.212924066444728
Samd12	-4.12	Hypomethylated	0.193222503397725	0.152036593375497
Kcnip4	-4.08	Hypomethylated	0.167446507359034	0.126665676313111
Rora	-4.07	Hypomethylated	0.275214189586967	0.234468526329349
Mtus2	-3.96	Hypomethylated	0.216208088038046	0.17658411953013
Pde4d	-3.93	Hypomethylated	0.192244227414056	0.15293776525447
Il1rapl1	-3.91	Hypomethylated	0.107941081646013	0.0688863460268256
Cadm2	-3.84	Hypomethylated	0.228435871188902	0.190081312192833
Cntnap2	-3.65	Hypomethylated	0.123553634870608	0.0870616362408768
Tmem117	-3.48	Hypomethylated	0.171459457409797	0.136687517001
Magi1	-3.42	Hypomethylated	0.162991995894865	0.128831203518355
Ptprg	-3.04	Hypomethylated	0.190261257018338	0.159867354753954
Ank3	-2.93	Hypomethylated	0.218946396688449	0.189613075083345
Lrrc4c	-2.59	Hypomethylated	0.152921668836502	0.127048488459394
Robo1	-2.46	Hypomethylated	0.114406502408658	0.0898277449752213
Lsamp	-2.4	Hypomethylated	0.177424425887003	0.153426900112668
Hs6st3	-2.39	Hypomethylated	0.127074772543646	0.103178691737405
Tenm2	-2.31	Hypomethylated	0.133741102945871	0.110645388333007
Dlg2	-2.05	Hypomethylated	0.12600741113321	0.105474107005485
Cntnap5a	2.36	Hypermethylated	0.0508046853622392	0.0743709111850917
Dlgap2	2.58	Hypermethylated	0.0840065180353986	0.109779619244215
Csmd1	3.01	Hypermethylated	0.0957207820516723	0.125868770052159
Tenm4	3.65	Hypermethylated	0.0988287222391127	0.135323447203475
Kcnma1	3.73	Hypermethylated	0.10848881685254	0.145787251230404
Gria1	3.83	Hypermethylated	0.0891103762911351	0.127442925721688
Slc24a3	3.95	Hypermethylated	0.111958024686866	0.151500364526654
Epha5	4.56	Hypermethylated	0.0676202523907003	0.113216783462736
Fat3	5.31	Hypermethylated	0.124099652453952	0.177220739263508
Shb	8.21	Hypermethylated	0.134821270858525	0.216938996058103
